border_order,border_side,group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,selection_reason,sequence_order,exact_sequence,count
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,2,AAA,3
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,3,AP,2
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,4,RAP,2
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,5,AAAP,2
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,6,APP,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,7,SAA,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,8,AAPP,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,9,RAPP,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,10,SAAP,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,11,TKKAP,1
10,left,22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,individual-stage centroid-nearest,12,TKKSAAP,1
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,1,PAAPP,2
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,2,AA,1
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,3,AAAAP,1
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,4,PAAAP,1
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,5,APPAAP,1
11,left,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,6,SPAAAP,1
12,left,79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,individual-stage centroid-nearest,1,AAAP,3
12,left,79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,individual-stage centroid-nearest,2,AAAPPP,2
12,left,79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,individual-stage centroid-nearest,3,AAA,1
12,left,79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,individual-stage centroid-nearest,4,AAAAP,1
12,left,79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,individual-stage centroid-nearest,5,APPAAPS,1
