group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
50,Odin,Nougatti,before,partner,2.0,Odin-Nougatti,male,16,5,1.9469607,8.737509,UMAP
51,Odin,Nougatti,before,partner,3.0,Odin-Nougatti,male,20,11,1.4830296,8.446214,UMAP
52,Odin,Nougatti,before,partner,4.0,Odin-Nougatti,male,32,5,1.5318282,8.401977,UMAP
53,Odin,Nougatti,before,partner,5.0,Odin-Nougatti,male,10,5,8.335881,10.408279,UMAP
54,Odin,Nougatti,before,partner,6.0,Odin-Nougatti,male,8,5,-1.5310338,-2.5307915,UMAP
55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,male,26,13,12.049011,10.653265,UMAP
56,Odin,Olympia,after,non-partner,3.0,Odin-Nougatti,male,26,17,11.141153,9.862372,UMAP
57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,male,16,7,12.467298,9.239187,UMAP
58,Odin,Olympia,after,non-partner,5.0,Odin-Nougatti,male,20,13,12.788749,9.771099,UMAP
59,Odin,Olympia,before,non-partner,1.0,Odin-Nougatti,male,27,14,12.272441,9.060513,UMAP
60,Odin,Olympia,before,non-partner,2.0,Odin-Nougatti,male,21,9,11.706237,8.761322,UMAP
61,Odin,Olympia,before,non-partner,3.0,Odin-Nougatti,male,18,5,6.5346875,9.759032,UMAP
62,Odin,Olympia,before,non-partner,4.0,Odin-Nougatti,male,13,12,12.641277,9.323444,UMAP
63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,female,9,2,1.2419273,9.196882,UMAP
64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,female,7,2,-2.060855,-2.469135,UMAP
65,Olympia,Odin,before,non-partner,3.0,Wuschel-Olympia,female,10,1,-2.2307184,-3.107031,UMAP
66,Olympia,Tabor,before,non-partner,4.0,Wuschel-Olympia,female,6,3,-1.5317014,-2.9711905,UMAP
