border_order,border_side,group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,selection_reason,sequence_order,exact_sequence,count
8,right,55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,individual-stage centroid-nearest,9,APAAS,1
8,right,55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,individual-stage centroid-nearest,10,PAAAP,1
8,right,55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,individual-stage centroid-nearest,11,APAAAP,1
8,right,55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,individual-stage centroid-nearest,12,APAPAA,1
8,right,55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,individual-stage centroid-nearest,13,AAPPAAA,1
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,1,PAAPP,2
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,2,AA,1
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,3,AAAAP,1
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,4,PAAAP,1
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,5,APPAAP,1
9,bottom,76,Tabor,Lola,before,partner,6.0,Tabor-Lola,individual-stage centroid-nearest,6,SPAAAP,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,6
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AAP,4
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,3,AAK,2
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,4,AAA,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,5,AAKK,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,6,AAPA,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,7,AAKKK,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,8,AAPAP,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,9,AAPPP,1
10,bottom,103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,10,AAPAPPPKK,1
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,1,AA,8
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,2,AAK,3
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,3,APA,3
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,4,AAA,2
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,5,AAS,1
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,6,PAK,1
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,7,AAAP,1
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,8,APAA,1
