group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
54,Odin,Nougatti,before,partner,6.0,Odin-Nougatti,male,8,5,-4.77135,-0.015049575,PaCMAP
55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,male,26,13,-1.4113356,-1.5940374,PaCMAP
56,Odin,Olympia,after,non-partner,3.0,Odin-Nougatti,male,26,17,-2.5267248,-0.7294524,PaCMAP
57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,male,16,7,1.6586993,-0.4338544,PaCMAP
58,Odin,Olympia,after,non-partner,5.0,Odin-Nougatti,male,20,13,-1.930389,-1.1525584,PaCMAP
59,Odin,Olympia,before,non-partner,1.0,Odin-Nougatti,male,27,14,-0.12811635,-0.71788543,PaCMAP
60,Odin,Olympia,before,non-partner,2.0,Odin-Nougatti,male,21,9,3.1449218,0.18538617,PaCMAP
61,Odin,Olympia,before,non-partner,3.0,Odin-Nougatti,male,18,5,-1.6463906,-0.41005504,PaCMAP
62,Odin,Olympia,before,non-partner,4.0,Odin-Nougatti,male,13,12,-3.7181063,-0.3051083,PaCMAP
63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,female,9,2,4.653508,1.0803691,PaCMAP
64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,female,7,2,4.4441113,0.71283716,PaCMAP
65,Olympia,Odin,before,non-partner,3.0,Wuschel-Olympia,female,10,1,4.7636867,1.0555302,PaCMAP
66,Olympia,Tabor,before,non-partner,4.0,Wuschel-Olympia,female,6,3,-0.036664177,1.1311352,PaCMAP
67,Olympia,Tabor,before,non-partner,6.0,Wuschel-Olympia,female,7,2,4.7512617,1.0277658,PaCMAP
68,Olympia,Wuschel,after,partner,2.0,Wuschel-Olympia,female,6,2,4.13046,0.8131895,PaCMAP
69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,female,9,4,3.0576532,-0.13334885,PaCMAP
70,Olympia,Wuschel,before,partner,4.0,Wuschel-Olympia,female,5,3,0.17988022,1.7045827,PaCMAP
71,Olympia,Wuschel,before,partner,5.0,Wuschel-Olympia,female,22,3,4.3470483,0.8953426,PaCMAP
72,Olympia,Wuschel,before,partner,6.0,Wuschel-Olympia,female,10,2,3.7493382,0.35303646,PaCMAP
73,Tabor,Lola,after,partner,3.0,Tabor-Lola,male,8,6,-3.1781695,-0.014129587,PaCMAP
74,Tabor,Lola,after,partner,5.0,Tabor-Lola,male,9,5,1.3422087,-0.8293096,PaCMAP
75,Tabor,Lola,before,partner,3.0,Tabor-Lola,male,16,8,-4.5057044,-0.09702567,PaCMAP
76,Tabor,Lola,before,partner,6.0,Tabor-Lola,male,7,6,-2.9471533,-0.87157667,PaCMAP
77,Tabor,Nougatti,after,non-partner,2.0,Tabor-Lola,male,20,15,-2.409083,-0.39910305,PaCMAP
78,Tabor,Nougatti,after,non-partner,3.0,Tabor-Lola,male,8,8,1.362659,-1.0646232,PaCMAP
79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,male,8,5,-1.9405174,-0.3221953,PaCMAP
80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,male,9,7,-3.551192,-0.31401536,PaCMAP
81,Tabor,Nougatti,after,non-partner,6.0,Tabor-Lola,male,7,7,-3.4346607,-0.48664534,PaCMAP
82,Tabor,Nougatti,before,non-partner,4.0,Tabor-Lola,male,5,4,-2.9075165,-1.3874881,PaCMAP
83,Tabor,Nougatti,before,non-partner,6.0,Tabor-Lola,male,18,8,-3.8886766,-0.7373144,PaCMAP
84,Tabor,Olympia,after,non-partner,2.0,Tabor-Lola,male,11,10,-4.1585965,-0.15888812,PaCMAP
85,Tabor,Olympia,after,non-partner,3.0,Tabor-Lola,male,14,10,-3.6288955,0.17260131,PaCMAP
86,Tabor,Olympia,after,non-partner,4.0,Tabor-Lola,male,21,10,2.2092488,-0.75873053,PaCMAP
87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,male,11,5,3.990654,0.58786744,PaCMAP
88,Tabor,Olympia,after,non-partner,6.0,Tabor-Lola,male,14,10,2.0701826,-1.2399688,PaCMAP
89,Tabor,Olympia,before,non-partner,4.0,Tabor-Lola,male,6,3,-1.6646888,-1.6335939,PaCMAP
90,Tabor,Olympia,before,non-partner,5.0,Tabor-Lola,male,13,7,2.0874083,-0.9767372,PaCMAP
91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,male,15,3,4.615921,0.9764427,PaCMAP
92,Wuschel,Lola,after,non-partner,5.0,Wuschel-Olympia,male,12,3,4.271073,0.7533737,PaCMAP
93,Wuschel,Lola,after,non-partner,6.0,Wuschel-Olympia,male,9,3,1.5200081,1.7308002,PaCMAP
94,Wuschel,Lola,before,non-partner,2.0,Wuschel-Olympia,male,11,6,-3.0026984,-0.20564125,PaCMAP
95,Wuschel,Lola,before,non-partner,3.0,Wuschel-Olympia,male,6,3,1.2622943,-0.62744176,PaCMAP
96,Wuschel,Lola,before,non-partner,4.0,Wuschel-Olympia,male,10,5,-1.9517729,-0.34520957,PaCMAP
