group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
47,Odin,Lola,before,non-partner,5.0,Odin-Nougatti,male,7,3,3.2677987,-0.15448399,PaCMAP
48,Odin,Lola,before,non-partner,6.0,Odin-Nougatti,male,7,4,3.6252317,-0.29734695,PaCMAP
49,Odin,Nougatti,before,partner,1.0,Odin-Nougatti,male,11,9,3.255997,-0.09204458,PaCMAP
50,Odin,Nougatti,before,partner,2.0,Odin-Nougatti,male,16,5,2.9396012,-0.4404691,PaCMAP
51,Odin,Nougatti,before,partner,3.0,Odin-Nougatti,male,20,11,2.916951,-0.58756924,PaCMAP
52,Odin,Nougatti,before,partner,4.0,Odin-Nougatti,male,32,5,3.408052,-0.19262652,PaCMAP
53,Odin,Nougatti,before,partner,5.0,Odin-Nougatti,male,10,5,3.5551314,-0.22775774,PaCMAP
54,Odin,Nougatti,before,partner,6.0,Odin-Nougatti,male,8,5,2.6781123,-0.3910678,PaCMAP
55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,male,26,13,2.843608,-0.40183437,PaCMAP
56,Odin,Olympia,after,non-partner,3.0,Odin-Nougatti,male,26,17,-1.4500843,0.0008883017,PaCMAP
57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,male,16,7,-0.77077,-1.0280441,PaCMAP
58,Odin,Olympia,after,non-partner,5.0,Odin-Nougatti,male,20,13,2.9313257,-0.22991985,PaCMAP
59,Odin,Olympia,before,non-partner,1.0,Odin-Nougatti,male,27,14,0.6348129,-1.1742389,PaCMAP
60,Odin,Olympia,before,non-partner,2.0,Odin-Nougatti,male,21,9,-0.20025665,-1.4171736,PaCMAP
61,Odin,Olympia,before,non-partner,3.0,Odin-Nougatti,male,18,5,3.0520823,-0.13061276,PaCMAP
62,Odin,Olympia,before,non-partner,4.0,Odin-Nougatti,male,13,12,-0.5104651,-1.9113878,PaCMAP
63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,female,9,2,-4.346233,-1.9936111,PaCMAP
64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,female,7,2,-4.3400784,-1.9217505,PaCMAP
65,Olympia,Odin,before,non-partner,3.0,Wuschel-Olympia,female,10,1,-4.3493285,-1.9612467,PaCMAP
66,Olympia,Tabor,before,non-partner,4.0,Wuschel-Olympia,female,6,3,3.4822898,-0.2656343,PaCMAP
67,Olympia,Tabor,before,non-partner,6.0,Wuschel-Olympia,female,7,2,-4.4157796,-2.0042293,PaCMAP
68,Olympia,Wuschel,after,partner,2.0,Wuschel-Olympia,female,6,2,-0.16863897,-1.3240541,PaCMAP
69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,female,9,4,-1.8128821,-0.19951576,PaCMAP
70,Olympia,Wuschel,before,partner,4.0,Wuschel-Olympia,female,5,3,3.7165365,-0.30568108,PaCMAP
71,Olympia,Wuschel,before,partner,5.0,Wuschel-Olympia,female,22,3,3.6744137,-0.29395524,PaCMAP
72,Olympia,Wuschel,before,partner,6.0,Wuschel-Olympia,female,10,2,-4.299188,-1.9372226,PaCMAP
73,Tabor,Lola,after,partner,3.0,Tabor-Lola,male,8,6,-0.7176133,0.18567255,PaCMAP
74,Tabor,Lola,after,partner,5.0,Tabor-Lola,male,9,5,-2.488575,1.6170843,PaCMAP
75,Tabor,Lola,before,partner,3.0,Tabor-Lola,male,16,8,0.32550657,0.958612,PaCMAP
76,Tabor,Lola,before,partner,6.0,Tabor-Lola,male,7,6,-0.5056112,-0.88850516,PaCMAP
77,Tabor,Nougatti,after,non-partner,2.0,Tabor-Lola,male,20,15,-2.396877,1.6281297,PaCMAP
78,Tabor,Nougatti,after,non-partner,3.0,Tabor-Lola,male,8,8,-2.659969,2.203249,PaCMAP
79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,male,8,5,-2.6508973,1.6969392,PaCMAP
