0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,stage,type,date_x,time_x,focal ID,Date_Time,experimenter,session_number,conspecific_ID,seq_num,sequence,true_sequence,phase,paired_status
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_27.txt,x,A,P,P,A,A,A,A,K,K,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,16.0,xAPPAAAAKK,APPAAAAKK,1,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_47.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,27.0,xAAy,AA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_51.txt,x,A,A,A,A,y,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,29.0,xAAAAy,AAAA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_52.txt,x,A,P,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,30.0,xAP,AP,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_53.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,31.0,xAAAy,AAA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_54.txt,x,A,P,A,A,P,P,K,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,32.0,xAPAAPPK,APAAPPK,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_58.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,34.0,xAAAy,AAA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_60.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,35.0,xAAAy,AAA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_66.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,36.0,xAAy,AA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_67.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,37.0,xAAAy,AAA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_01.txt,x,A,A,A,A,A,A,A,y,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,38.0,xAAAAAAAy,AAAAAAA,1,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_59.txt,x,A,P,P,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,47.0,xAPP,APP,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Olympia_pheeseq_11.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Olympia,2022-02-22 09:14:37,AT/MM,1.0,Odin,1.0,xAAy,AA,1,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Olympia_pheeseq_50.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Olympia,2022-02-22 09:14:37,AT/MM,1.0,Odin,4.0,xAAy,AA,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Olympia_pheeseq_65.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Olympia,2022-02-22 09:14:37,AT/MM,1.0,Odin,5.0,xAAy,AA,3,non-partner
