model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_pareto_k,loo_elpd,loo_se,loo_used_moment_match
metric_non_partner_sequence_structure__transition_matrix,1.003759467550608,1374.4306144288773,1881.8228045860453,0,1.2605646672637254,-80.59186533447289,16.401778619622696,TRUE
metric_non_partner_sequence_structure__bigram,1.0031143449367315,1402.2166107084336,2520.6843871305446,0,1.0894648949188839,-92.81726491078591,14.366067322794356,TRUE
metric_non_partner_sequence_structure__repeat_A_len,1.003445601224928,1550.6032841096549,2835.4402939914185,0,0.9600947391736799,-56.27708786923462,11.714156001138601,TRUE
metric_non_partner_sequence_structure__local_alignment,1.0030171490064255,1471.379534383437,1947.3373600536604,0,1.3616328553940698,-117.88426610672612,22.013623327462575,TRUE
metric_partner_sequence_structure__transition_matrix,1.0045572219976102,1511.891711298697,2585.9675793013344,0,0.8618685080835834,-15.797610672659921,8.716973214938108,TRUE
metric_partner_sequence_structure__bigram,1.0054065790351785,1274.5270371159654,1731.9307646609948,0,0.6999731378837664,-77.21840046007374,7.104162010266711,TRUE
metric_partner_sequence_structure__repeat_A_len,1.002258294553789,1607.01282178574,3423.67131542605,0,0.6950158960926044,-30.151367329171986,8.229083405646834,TRUE
metric_partner_sequence_structure__local_alignment,1.003066262124443,1448.2171536243463,2469.4573045061356,0,1.1030188580720608,-49.316072052268446,7.238718061513381,TRUE
metric_non_partner_call_structure__T_PC_pairwise,1.0020178657137646,1603.5851007077354,2845.680816096003,0,1.0390384014393048,48.60128871371674,13.722874449441806,TRUE
metric_non_partner_call_structure__M_PC_pairwise,1.0022582716597468,1562.779003913183,2656.682138688753,0,0.836371139594819,77.6639397113791,11.783141706289578,TRUE
metric_non_partner_call_structure__spectro_DTW,1.0039302234869114,1418.3387192789166,2776.7144409696784,0,0.9823016254498812,92.61402324884632,13.958858500653506,TRUE
metric_partner_call_structure__T_PC_pairwise,1.0023929671414535,1117.2413025988558,2608.6708777638187,0,1.41429674737023,-19.927564546160426,16.795241381635538,TRUE
metric_partner_call_structure__M_PC_pairwise,1.0020120299126205,1405.827830025514,2584.6574985267316,0,1.537313219112704,-35.98143771840084,15.136849220835979,TRUE
metric_partner_call_structure__spectro_DTW,1.0028250375407985,1470.3406976912588,3196.276269449388,0,1.7658767974329532,-28.251070225064083,20.569092784206756,TRUE
