model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_pareto_k,loo_elpd,loo_se,loo_used_moment_match
pooled_seq_nonpartner,1.0033016063591758,1695.5897885355914,1537.0077195326803,0,0.42188053277083776,-604.1829452355673,17.600369991237024,FALSE
pooled_seq_partner,1.0043163170311764,1628.1336901707105,1822.6287509502095,0,0.6656014965000081,-313.6686122413061,12.978057058445328,FALSE
pooled_spec_nonpartner,1.0023494559468946,1668.8547984987583,2517.10705694645,0,0.5605983716413485,-281.9615718221762,14.166048807727867,FALSE
pooled_spec_partner,1.0042629443253281,1797.1499415027017,3036.578523776777,0,0.6313476171720646,-146.24997699154352,14.592868590338185,TRUE
