call_id,mfcc_pc_1,mfcc_pc_2,mfcc_pc_3,mfcc_pc_4,mfcc_pc_5
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,-3.5130986522774017,-0.3725894787448041,-3.647373031932404,7.57052949089117,-1.2592801716778097
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,-2.3583930142524845,-0.762709838193412,-1.908327806847727,6.716175786945878,-1.855750113893533
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,-0.3236330897124201,2.542638258052639,-3.3993027107771723,8.707129683066803,-0.9641150601664348
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,-2.962053416190816,-0.986330630281091,8.014082021883713,0.8845066530891825,2.553058133179362
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,-0.963607018136588,-3.300795097593573,-0.038024808840566,0.2778793972785874,0.494225595248923
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,-6.539686816808345,-0.883119611640961,-2.331762190145933,0.4250331563436481,-4.210617081495206
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,-2.755160821455356,-0.3326153114336346,-0.2212223511442574,2.8611591664836395,-5.129232127031584
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,1.3912493573194633,0.3805097582549253,-0.7753838759200475,7.654139695975887,1.45492335096824
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,8.297915476165619,3.5233175244222212,0.4025967339739309,4.462383262791844,-0.3801614221502997
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,-0.0331424692831428,-3.355771284811341,-3.029238271149548,3.5273627559300587,0.1681718574670144
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD4.wav,-3.179524257648122,5.579089979362063,-5.366212722846632,3.107799937024969,-5.114332704959473
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD5.wav,-4.272973992713363,2.0795444457523407,-0.4932424039553765,3.890531498295709,-5.417705080379125
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD1.wav,-3.620422438152661,-6.394700434356838,-3.249720339112924,1.438137738378572,1.1644681373432872
