repertoire_id,individual_id,receiver_id,pair_id,stage,context,session_number,n_sequences
focal=Olympia|conspecific=Wuschel|stage=before|session=6,Olympia,Wuschel,B,before,partner,6,10
focal=Wuschel|conspecific=Olympia|stage=before|session=1,Wuschel,Olympia,B,before,partner,1,19
focal=Wuschel|conspecific=Olympia|stage=before|session=3,Wuschel,Olympia,B,before,partner,3,11
focal=Wuschel|conspecific=Olympia|stage=before|session=5,Wuschel,Olympia,B,before,partner,5,18
focal=Wuschel|conspecific=Olympia|stage=before|session=6,Wuschel,Olympia,B,before,partner,6,18
focal=Nougatti|conspecific=Tabor|stage=after|session=2,Nougatti,Tabor,C,after,non-partner,2,11
focal=Nougatti|conspecific=Tabor|stage=after|session=3,Nougatti,Tabor,C,after,non-partner,3,19
focal=Nougatti|conspecific=Tabor|stage=after|session=6,Nougatti,Tabor,C,after,non-partner,6,22
focal=Nougatti|conspecific=Wuschel|stage=after|session=3,Nougatti,Wuschel,C,after,non-partner,3,14
focal=Nougatti|conspecific=Wuschel|stage=after|session=4,Nougatti,Wuschel,C,after,non-partner,4,17
focal=Nougatti|conspecific=Wuschel|stage=after|session=5,Nougatti,Wuschel,C,after,non-partner,5,27
focal=Nougatti|conspecific=Wuschel|stage=after|session=6,Nougatti,Wuschel,C,after,non-partner,6,16
focal=Odin|conspecific=Lola|stage=after|session=2,Odin,Lola,C,after,non-partner,2,17
focal=Odin|conspecific=Lola|stage=after|session=3,Odin,Lola,C,after,non-partner,3,7
focal=Odin|conspecific=Lola|stage=after|session=4,Odin,Lola,C,after,non-partner,4,17
focal=Odin|conspecific=Lola|stage=after|session=5,Odin,Lola,C,after,non-partner,5,11
focal=Odin|conspecific=Lola|stage=after|session=6,Odin,Lola,C,after,non-partner,6,18
focal=Odin|conspecific=Olympia|stage=after|session=1,Odin,Olympia,C,after,non-partner,1,26
focal=Odin|conspecific=Olympia|stage=after|session=3,Odin,Olympia,C,after,non-partner,3,26
focal=Odin|conspecific=Olympia|stage=after|session=4,Odin,Olympia,C,after,non-partner,4,16
focal=Odin|conspecific=Olympia|stage=after|session=5,Odin,Olympia,C,after,non-partner,5,20
focal=Nougatti|conspecific=Odin|stage=after|session=3,Nougatti,Odin,C,after,partner,3,6
focal=Nougatti|conspecific=Odin|stage=after|session=6,Nougatti,Odin,C,after,partner,6,20
focal=Nougatti|conspecific=Tabor|stage=before|session=3,Nougatti,Tabor,C,before,non-partner,3,5
focal=Nougatti|conspecific=Tabor|stage=before|session=4,Nougatti,Tabor,C,before,non-partner,4,14
focal=Nougatti|conspecific=Tabor|stage=before|session=5,Nougatti,Tabor,C,before,non-partner,5,8
focal=Nougatti|conspecific=Tabor|stage=before|session=6,Nougatti,Tabor,C,before,non-partner,6,14
focal=Nougatti|conspecific=Wuschel|stage=before|session=1,Nougatti,Wuschel,C,before,non-partner,1,14
focal=Nougatti|conspecific=Wuschel|stage=before|session=2,Nougatti,Wuschel,C,before,non-partner,2,19
focal=Nougatti|conspecific=Wuschel|stage=before|session=3,Nougatti,Wuschel,C,before,non-partner,3,42
focal=Nougatti|conspecific=Wuschel|stage=before|session=4,Nougatti,Wuschel,C,before,non-partner,4,23
focal=Nougatti|conspecific=Wuschel|stage=before|session=5,Nougatti,Wuschel,C,before,non-partner,5,5
focal=Odin|conspecific=Lola|stage=before|session=1,Odin,Lola,C,before,non-partner,1,13
focal=Odin|conspecific=Lola|stage=before|session=3,Odin,Lola,C,before,non-partner,3,8
focal=Odin|conspecific=Lola|stage=before|session=5,Odin,Lola,C,before,non-partner,5,7
focal=Odin|conspecific=Lola|stage=before|session=6,Odin,Lola,C,before,non-partner,6,7
focal=Odin|conspecific=Olympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,1,27
focal=Odin|conspecific=Olympia|stage=before|session=2,Odin,Olympia,C,before,non-partner,2,21
focal=Odin|conspecific=Olympia|stage=before|session=3,Odin,Olympia,C,before,non-partner,3,18
focal=Odin|conspecific=Olympia|stage=before|session=4,Odin,Olympia,C,before,non-partner,4,13
focal=Nougatti|conspecific=Odin|stage=before|session=1,Nougatti,Odin,C,before,partner,1,9
focal=Nougatti|conspecific=Odin|stage=before|session=2,Nougatti,Odin,C,before,partner,2,7
focal=Nougatti|conspecific=Odin|stage=before|session=3,Nougatti,Odin,C,before,partner,3,12
focal=Nougatti|conspecific=Odin|stage=before|session=4,Nougatti,Odin,C,before,partner,4,16
focal=Nougatti|conspecific=Odin|stage=before|session=5,Nougatti,Odin,C,before,partner,5,21
focal=Nougatti|conspecific=Odin|stage=before|session=6,Nougatti,Odin,C,before,partner,6,9
focal=Odin|conspecific=Nougatti|stage=before|session=1,Odin,Nougatti,C,before,partner,1,11
focal=Odin|conspecific=Nougatti|stage=before|session=2,Odin,Nougatti,C,before,partner,2,16
focal=Odin|conspecific=Nougatti|stage=before|session=3,Odin,Nougatti,C,before,partner,3,20
focal=Odin|conspecific=Nougatti|stage=before|session=4,Odin,Nougatti,C,before,partner,4,32
focal=Odin|conspecific=Nougatti|stage=before|session=5,Odin,Nougatti,C,before,partner,5,10
focal=Odin|conspecific=Nougatti|stage=before|session=6,Odin,Nougatti,C,before,partner,6,8
