comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=fb543031f6e2d65c18a41344,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=4,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Olympia,Odin,4,5
comparison=2f2764bcdac2fa04f57ee06b,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=4,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Olympia,Wuschel,4,4
comparison=9fea2b98e95fc7d3085f9e4a,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=5,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Olympia,Odin,5,1
comparison=bbef7b8ca0b7ce57efbc128e,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=5,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Olympia,Odin,5,5
comparison=45af85c327c91e404dc56796,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=5,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Olympia,Wuschel,5,4
comparison=5b2a82c06c87a10dbf958fd3,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=1,focal=Lola|conspecific=Tabor|stage=before|session=4,Tabor,Lola,Lola,Tabor,1,4
comparison=706c2609744725c72cec813d,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=1,focal=Lola|conspecific=Tabor|stage=before|session=6,Tabor,Lola,Lola,Tabor,1,6
comparison=08d582c51ab85625b9833efe,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=3,focal=Lola|conspecific=Tabor|stage=before|session=4,Tabor,Lola,Lola,Tabor,3,4
comparison=de12e1eb999dd443f9653145,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=3,focal=Lola|conspecific=Tabor|stage=before|session=6,Tabor,Lola,Lola,Tabor,3,6
comparison=b09454c867a48dca6a0d353c,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=6,focal=Lola|conspecific=Tabor|stage=before|session=4,Tabor,Lola,Lola,Tabor,6,4
comparison=3b299286b11fa22b7480d879,A,before,partner,focal=Tabor|conspecific=Lola|stage=before|session=6,focal=Lola|conspecific=Tabor|stage=before|session=6,Tabor,Lola,Lola,Tabor,6,6
comparison=cfc9b2b364a77a5ed048a8bd,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=2,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Lola,Odin,2,1
comparison=0b73789ced1c36bd4d342cec,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=2,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Lola,Odin,2,3
comparison=112da79be8d2c35b95d9aeca,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=3,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Lola,Odin,3,1
comparison=0fc744100ea1f5d7aa3c826c,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=3,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Lola,Odin,3,3
comparison=2edcd9c97322b47515c25500,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=4,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Lola,Odin,4,1
comparison=15565decbcefd63f2cc08041,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=4,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Lola,Odin,4,3
comparison=69b6b0af6a295ebcac596992,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=5,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Lola,Odin,5,1
comparison=c6b9aecf90f4d7a5db062868,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=5,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Lola,Odin,5,3
comparison=f51fbe51c9d2465449379327,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=6,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Lola,Odin,6,1
comparison=be63add29771276b0fa796b2,B,after,non-partner,focal=Wuschel|conspecific=Lola|stage=after|session=6,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Lola,Odin,6,3
comparison=bca3ff0ffdfabe9bdb567298,B,after,non-partner,focal=Wuschel|conspecific=Nougatti|stage=after|session=4,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Nougatti,Odin,4,1
comparison=8fa1027a7bee3df75ed28742,B,after,non-partner,focal=Wuschel|conspecific=Nougatti|stage=after|session=4,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Nougatti,Odin,4,3
comparison=7c4b79070d42de0db8d9fe7d,B,after,non-partner,focal=Wuschel|conspecific=Nougatti|stage=after|session=5,focal=Olympia|conspecific=Odin|stage=after|session=1,Wuschel,Olympia,Nougatti,Odin,5,1
comparison=58aed1ddd6aec74a11d8cd8c,B,after,non-partner,focal=Wuschel|conspecific=Nougatti|stage=after|session=5,focal=Olympia|conspecific=Odin|stage=after|session=3,Wuschel,Olympia,Nougatti,Odin,5,3
comparison=8e060b1baf63d721dbecf45f,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=3,focal=Olympia|conspecific=Wuschel|stage=after|session=1,Wuschel,Olympia,Olympia,Wuschel,3,1
comparison=3e5c9b86d9012632ac51aee3,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=3,focal=Olympia|conspecific=Wuschel|stage=after|session=2,Wuschel,Olympia,Olympia,Wuschel,3,2
comparison=eaeaeb5b248c1e679d315281,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=3,focal=Olympia|conspecific=Wuschel|stage=after|session=3,Wuschel,Olympia,Olympia,Wuschel,3,3
comparison=2d1770263479b76131946e72,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=4,focal=Olympia|conspecific=Wuschel|stage=after|session=1,Wuschel,Olympia,Olympia,Wuschel,4,1
comparison=977e9ebd128173d1e713bb5e,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=4,focal=Olympia|conspecific=Wuschel|stage=after|session=2,Wuschel,Olympia,Olympia,Wuschel,4,2
comparison=9ca2a7fc84d4bd4185079692,B,after,partner,focal=Wuschel|conspecific=Olympia|stage=after|session=4,focal=Olympia|conspecific=Wuschel|stage=after|session=3,Wuschel,Olympia,Olympia,Wuschel,4,3
comparison=5f283a80543e91bd243d8a3c,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Lola,Odin,2,1
comparison=4f003bfde8da7c1b284053be,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Lola,Odin,2,2
comparison=52e42ff7a11a692b6062315d,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Lola,Odin,2,3
comparison=2ae4ed68fe076f7330b71c99,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Lola,Odin,2,4
comparison=73bb6ae4a50417b3e6b5b01a,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Lola,Odin,2,6
comparison=aeb0eaf8003fac09aa360101,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Lola,Tabor,2,1
comparison=5eb74152df3a58d62ffdd88f,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Lola,Tabor,2,4
comparison=e57d808f3dca69b22c2309b4,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Lola,Tabor,2,5
comparison=6fe532435b2b0ee4840ba22d,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Lola,Tabor,2,6
comparison=63d1b7b4431a0549c7c6d044,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Lola,Odin,3,1
comparison=67f93e8d4afc88bbd4312eef,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Lola,Odin,3,2
comparison=22f49058fabe72a81e24ffca,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Lola,Odin,3,3
comparison=b08219f0232473c88b152ce5,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Lola,Odin,3,4
comparison=ca33dcda5e3939c137601e2e,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Lola,Odin,3,6
comparison=7ea23fb84d2b3c4d8f40ee66,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Lola,Tabor,3,1
comparison=3c20f6eb036601f34c5699c0,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Lola,Tabor,3,4
comparison=7646dafa9577f7b100534449,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Lola,Tabor,3,5
comparison=6ff01a217f304fa98736d30c,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=3,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Lola,Tabor,3,6
comparison=ff4048cd7d79b08c45d805e4,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Lola,Odin,4,1
comparison=d6abfaf8d823e035c97f4a98,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Lola,Odin,4,2
comparison=eeeb905bbad9e4dfdc47dea2,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Lola,Odin,4,3
comparison=e4b9cd8352842c8e8a18308f,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Lola,Odin,4,4
comparison=9f1d5aa788d11de3b422fdb5,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Lola,Odin,4,6
comparison=4dc897ea219070b927f66fcb,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Lola,Tabor,4,1
comparison=bf3139f1ba4c551ea398278d,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Lola,Tabor,4,4
comparison=b276edf8319847a1635954ef,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Lola,Tabor,4,5
comparison=2e32b6de3db6c9be53083de1,B,before,non-partner,focal=Wuschel|conspecific=Lola|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Lola,Tabor,4,6
comparison=f699809c701498cff873b0fd,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Nougatti,Odin,2,1
comparison=b4b39cb24045ec379d219f15,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Nougatti,Odin,2,2
comparison=4f4c2f0db9c96d3548ebd0f4,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Nougatti,Odin,2,3
comparison=fdac747924021efe7bd6b9cd,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Nougatti,Odin,2,4
comparison=94fd070a92e87d00a38e049c,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Nougatti,Odin,2,6
comparison=b7df678ce0adb34f4f71109f,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Nougatti,Tabor,2,1
comparison=c59c0010efc6269f404540b8,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Nougatti,Tabor,2,4
comparison=4b2cba8f6a3847ea4bf7d5f8,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Nougatti,Tabor,2,5
comparison=147e11b30dc316c6ae7e5af4,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=2,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Nougatti,Tabor,2,6
comparison=743652d12275eb804d724cbe,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Nougatti,Odin,4,1
comparison=e81462e78c268dbb94297a8d,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Nougatti,Odin,4,2
comparison=5a18aa50e32053bfe935ee97,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Nougatti,Odin,4,3
comparison=9c5f5f622cb48f8b76e07d73,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Nougatti,Odin,4,4
comparison=52c3282300eed939a9090162,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Nougatti,Odin,4,6
comparison=398e84c31dd94c6fb00f2f62,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Nougatti,Tabor,4,1
comparison=07d4d3f7dd4640878c30637f,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Nougatti,Tabor,4,4
comparison=3c870b09bde132e133c66546,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Nougatti,Tabor,4,5
comparison=e4b2786d930b8a0bd118760c,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=4,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Nougatti,Tabor,4,6
comparison=fabf3144909026a6ae1c01d7,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Odin|stage=before|session=1,Wuschel,Olympia,Nougatti,Odin,5,1
comparison=30d792ef274a3c2df1d6914d,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Odin|stage=before|session=2,Wuschel,Olympia,Nougatti,Odin,5,2
comparison=b5901bc7ce239d405075a68a,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Odin|stage=before|session=3,Wuschel,Olympia,Nougatti,Odin,5,3
comparison=311d57cc8faa926aacc6636e,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Odin|stage=before|session=4,Wuschel,Olympia,Nougatti,Odin,5,4
comparison=6abe1843e1119b70cd4a7ef2,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Odin|stage=before|session=6,Wuschel,Olympia,Nougatti,Odin,5,6
comparison=792b09e246d64b308afe29ca,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Tabor|stage=before|session=1,Wuschel,Olympia,Nougatti,Tabor,5,1
comparison=d85ca9913d101cedb2e0835e,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Tabor|stage=before|session=4,Wuschel,Olympia,Nougatti,Tabor,5,4
comparison=333c9cb019826c99eb5cd3f6,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Tabor|stage=before|session=5,Wuschel,Olympia,Nougatti,Tabor,5,5
comparison=c6e26c77e46aef8d380d8c47,B,before,non-partner,focal=Wuschel|conspecific=Nougatti|stage=before|session=5,focal=Olympia|conspecific=Tabor|stage=before|session=6,Wuschel,Olympia,Nougatti,Tabor,5,6
comparison=61e35308ec33f3b330cdd81b,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=1,focal=Olympia|conspecific=Wuschel|stage=before|session=3,Wuschel,Olympia,Olympia,Wuschel,1,3
comparison=4b66f338e3c9f70823bdd88d,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=1,focal=Olympia|conspecific=Wuschel|stage=before|session=4,Wuschel,Olympia,Olympia,Wuschel,1,4
comparison=57d67be9df339442ca2ad5e5,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=1,focal=Olympia|conspecific=Wuschel|stage=before|session=5,Wuschel,Olympia,Olympia,Wuschel,1,5
comparison=753787d4fecc1652778d3d47,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=1,focal=Olympia|conspecific=Wuschel|stage=before|session=6,Wuschel,Olympia,Olympia,Wuschel,1,6
comparison=7d9a36957163414b80744ffa,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=3,focal=Olympia|conspecific=Wuschel|stage=before|session=3,Wuschel,Olympia,Olympia,Wuschel,3,3
comparison=d5b3d1642c9140da7ee4d729,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=3,focal=Olympia|conspecific=Wuschel|stage=before|session=4,Wuschel,Olympia,Olympia,Wuschel,3,4
comparison=9f417d382b2b0aff944022ae,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=3,focal=Olympia|conspecific=Wuschel|stage=before|session=5,Wuschel,Olympia,Olympia,Wuschel,3,5
comparison=8f62529863425b0b84162e39,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=3,focal=Olympia|conspecific=Wuschel|stage=before|session=6,Wuschel,Olympia,Olympia,Wuschel,3,6
comparison=ec80176edf7b93ecc1920485,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=4,focal=Olympia|conspecific=Wuschel|stage=before|session=3,Wuschel,Olympia,Olympia,Wuschel,4,3
comparison=66c7577379de1ea78632f36a,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=4,focal=Olympia|conspecific=Wuschel|stage=before|session=4,Wuschel,Olympia,Olympia,Wuschel,4,4
comparison=f2003f5c36f6591acd30a919,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=4,focal=Olympia|conspecific=Wuschel|stage=before|session=5,Wuschel,Olympia,Olympia,Wuschel,4,5
comparison=8cc0c916489e83de33566b90,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=4,focal=Olympia|conspecific=Wuschel|stage=before|session=6,Wuschel,Olympia,Olympia,Wuschel,4,6
comparison=83d127aec587c91d17e2573e,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=5,focal=Olympia|conspecific=Wuschel|stage=before|session=3,Wuschel,Olympia,Olympia,Wuschel,5,3
comparison=2c5970c962a0cfa16791f54c,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=5,focal=Olympia|conspecific=Wuschel|stage=before|session=4,Wuschel,Olympia,Olympia,Wuschel,5,4
comparison=85d749bd25a1297394626be3,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=5,focal=Olympia|conspecific=Wuschel|stage=before|session=5,Wuschel,Olympia,Olympia,Wuschel,5,5
comparison=f1d382077b7b67e079eb9288,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=5,focal=Olympia|conspecific=Wuschel|stage=before|session=6,Wuschel,Olympia,Olympia,Wuschel,5,6
comparison=df1e4a565a70cdd5a1209a39,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=6,focal=Olympia|conspecific=Wuschel|stage=before|session=3,Wuschel,Olympia,Olympia,Wuschel,6,3
comparison=5ac8cf2007222ffa31066f44,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=6,focal=Olympia|conspecific=Wuschel|stage=before|session=4,Wuschel,Olympia,Olympia,Wuschel,6,4
comparison=7988bb66c3385413aca31377,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=6,focal=Olympia|conspecific=Wuschel|stage=before|session=5,Wuschel,Olympia,Olympia,Wuschel,6,5
comparison=783278572e91174ebc6362c5,B,before,partner,focal=Wuschel|conspecific=Olympia|stage=before|session=6,focal=Olympia|conspecific=Wuschel|stage=before|session=6,Wuschel,Olympia,Olympia,Wuschel,6,6
comparison=c12e4ff85f2503856ef25151,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Tabor|stage=after|session=2,Odin,Nougatti,Lola,Tabor,2,2
comparison=3e0490818159d80316142a3b,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Tabor|stage=after|session=3,Odin,Nougatti,Lola,Tabor,2,3
comparison=8641151550a6d0214780d112,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Tabor|stage=after|session=5,Odin,Nougatti,Lola,Tabor,2,5
comparison=30f0cb362d9ba00da046bc4d,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Tabor|stage=after|session=6,Odin,Nougatti,Lola,Tabor,2,6
comparison=39c87e37e9e44bbd14a4c21b,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Wuschel|stage=after|session=3,Odin,Nougatti,Lola,Wuschel,2,3
comparison=cb35e130b3c840b6809c0947,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Wuschel|stage=after|session=4,Odin,Nougatti,Lola,Wuschel,2,4
comparison=b1aa0d4983b6ccfc1caceaa1,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Wuschel|stage=after|session=5,Odin,Nougatti,Lola,Wuschel,2,5
comparison=331bfaf06720d51ef6b9f462,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=2,focal=Nougatti|conspecific=Wuschel|stage=after|session=6,Odin,Nougatti,Lola,Wuschel,2,6
comparison=93910fdd9b02c5b2c352bc19,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Tabor|stage=after|session=2,Odin,Nougatti,Lola,Tabor,3,2
comparison=1a58718c23e246edc5eadd1a,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Tabor|stage=after|session=3,Odin,Nougatti,Lola,Tabor,3,3
comparison=74acccd9e682bb76416c6d6f,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Tabor|stage=after|session=5,Odin,Nougatti,Lola,Tabor,3,5
comparison=ef39fa72c64911da2c31c66f,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Tabor|stage=after|session=6,Odin,Nougatti,Lola,Tabor,3,6
comparison=60ea2e0f97b6428c954630e1,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Wuschel|stage=after|session=3,Odin,Nougatti,Lola,Wuschel,3,3
comparison=f60b1b897bcf02241ffef448,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Wuschel|stage=after|session=4,Odin,Nougatti,Lola,Wuschel,3,4
comparison=09fc7f79e4ef30fe96e57b9b,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Wuschel|stage=after|session=5,Odin,Nougatti,Lola,Wuschel,3,5
comparison=f19c9f470d957ee7f32ef526,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=3,focal=Nougatti|conspecific=Wuschel|stage=after|session=6,Odin,Nougatti,Lola,Wuschel,3,6
comparison=8df330aea6bd9282c35509b2,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Tabor|stage=after|session=2,Odin,Nougatti,Lola,Tabor,4,2
comparison=0314f09073cd44b74e322895,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Tabor|stage=after|session=3,Odin,Nougatti,Lola,Tabor,4,3
comparison=2b11f86558ce00ada0dd648e,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Tabor|stage=after|session=5,Odin,Nougatti,Lola,Tabor,4,5
comparison=b91cf7632136629baf96136e,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Tabor|stage=after|session=6,Odin,Nougatti,Lola,Tabor,4,6
comparison=d6f057a0ae496d0e196f190e,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Wuschel|stage=after|session=3,Odin,Nougatti,Lola,Wuschel,4,3
comparison=36e9d7aae910bb7d619824cc,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Wuschel|stage=after|session=4,Odin,Nougatti,Lola,Wuschel,4,4
comparison=039c81fb3041bb2d276f07e2,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Wuschel|stage=after|session=5,Odin,Nougatti,Lola,Wuschel,4,5
comparison=941ac3c71d26be2e26897df5,C,after,non-partner,focal=Odin|conspecific=Lola|stage=after|session=4,focal=Nougatti|conspecific=Wuschel|stage=after|session=6,Odin,Nougatti,Lola,Wuschel,4,6
