comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=228f63b4c7076993dd2cbef4,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Nougatti,Wuschel,4,2
comparison=56f37950480bafc665896ae4,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Nougatti,Wuschel,4,3
comparison=d1d456ef2e40af826e592e12,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Nougatti,Wuschel,4,4
comparison=85b9045d49e334d10b41e724,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Nougatti,Wuschel,4,5
comparison=36399d167d73b0584abd635f,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=4,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Nougatti,Wuschel,4,6
comparison=dc04624ed62ebec04a71ac4e,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Nougatti,Odin,5,2
comparison=e93047e8c6e0de39507aaad9,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Nougatti,Odin,5,3
comparison=42dc088c7cf5817e79ca6c51,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Nougatti,Odin,5,4
comparison=ec07ac4a368eb7dda7a21cb8,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Nougatti,Odin,5,5
comparison=ffa430d6a9b97faa83e8700f,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Nougatti,Odin,5,6
comparison=6bf647759796ff5e827c50c5,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Nougatti,Wuschel,5,2
comparison=fb23c3638f32c1a54abd910d,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Nougatti,Wuschel,5,3
comparison=6f9a613fb7120dcf1481b6da,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Nougatti,Wuschel,5,4
comparison=c56a73f0a6d462d42c01b09b,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Nougatti,Wuschel,5,5
comparison=1864f5a08e7ab4c03ccc00dc,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=5,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Nougatti,Wuschel,5,6
