call_id,stp_pc_1,stp_pc_2,stp_pc_3,stp_pc_4,stp_pc_5
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,-1.5813520070283424,3.271364181996515,-0.037366068626373,1.085179689918867,-0.0506695255294653
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,-1.377445416174807,2.7743308029563307,-0.3785569004007802,0.6865723694836525,0.1580298276883677
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,-0.5469876172283138,3.8212556094872863,-0.3537821466297333,1.0955669468654436,0.2635935304794478
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,-0.1762508725895234,-1.6666309291506096,-2.125370981601508,0.1565910608036519,0.2285463547811546
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,-0.0689119990193084,-0.2856639091489379,0.08745587390038,0.2959578991450554,0.0960113472072564
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,-2.5697705814066074,0.7914633924688564,0.4175791337620637,0.5518496730551125,0.1146507544300736
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,-4.302062927264244,2.9478775397311203,1.00113174207381,-0.5424916156104709,0.0556559908135406
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,-1.2538821639318372,3.2338158579234335,-0.7824793339613737,0.2918459406611144,-0.1313757433538979
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,1.7186400071711994,2.622606481936963,-1.805363147951109,0.1443303572371119,0.2006518012035895
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,-0.7956806517419323,2.2602361410917635,0.310235673579612,0.2410718950084364,-0.1526877339468741
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD4.wav,-4.030595506885777,3.699323806198549,0.9335576302710916,1.1482081314085872,-0.2801504866852244
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD5.wav,-4.346316664974517,1.7995464713097942,-0.1950900790900762,0.0387586222313988,0.3218861801188206
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD1.wav,-0.8802997862592933,-0.1683371874758589,-0.3359131183791023,0.0628255400444787,-0.2668607669127654
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD3.wav,-3.313383394506271,3.0544682782538755,0.2477698019011927,1.5956394381592325,-0.4539365090793834
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD4.wav,-3.9122266256718254,2.962895927551855,0.5464130785448437,1.526416919631785,-0.8854258418461974
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD5.wav,-1.8146938677170712,2.168113032207802,-0.5415302133027324,1.5678696779244974,-0.5388328554967271
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD1.wav,-1.6265713352701647,2.664658267747992,-0.0688988576311527,0.8532510768307096,-0.0577669548966003
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD3.wav,-2.58697404044034,4.10545563890363,0.2189905262107534,1.2078403014554575,0.5644529310516916
