0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,stage,type,date_x,time_x,focal ID,Date_Time,experimenter,session_number,conspecific_ID,seq_num,sequence,true_sequence,phase,paired_status
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_60.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,18.0,xAAAynannannannannannannannannannannannannan,AAAnannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_59.txt,x,A,P,P,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,19.0,xAPPnannannannannannannannannannannannannannan,APPnannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_49.txt,x,A,y,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,20.0,xAynannannannannannannannannannannannannannannan,Anannannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_53.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,21.0,xAAAynannannannannannannannannannannannannan,AAAnannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_47.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,22.0,xAAynannannannannannannannannannannannannannan,AAnannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_57.txt,x,A,y,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,23.0,xAynannannannannannannannannannannannannannannan,Anannannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_52.txt,x,A,P,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,24.0,xAPnannannannannannannannannannannannannannannan,APnannannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_55.txt,x,A,y,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,25.0,xAynannannannannannannannannannannannannannannan,Anannannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_51.txt,x,A,A,A,A,y,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,26.0,xAAAAynannannannannannannannannannannannan,AAAAnannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_54.txt,x,A,P,A,A,P,P,K,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,28.0,xAPAAPPKnannannannannannannannannannan,APAAPPKnannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_56.txt,x,A,y,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,30.0,xAynannannannannannannannannannannannannannannan,Anannannannannannannannannannannannannannannan,3,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_24.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,32.0,xAAAynannannannannannannannannannannannannan,AAAnannannannannannannannannannannannannan,1,non-partner
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_phee_20.txt,x,A,y,,,,,,,,,,,,,,,,before,phees,2022-02-22,09-14-37,Odin,2022-02-22 09:14:37,AT/MM,1.0,Olympia,33.0,xAynannannannannannannannannannannannannannannan,Anannannannannannannannannannannannannannannan,1,non-partner
