file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,
trills_2022-03-11_14-57-49_0000041,acoustic,USGH2,acc,before,Wuschel,Lola,11,3,2022,RB/MM,,
phees_2022-03-14_09-26-36_0000046,acoustic,USGH1,acc,before,Wuschel,Olympia,14,3,2022,EO/MM,,
trills_2022-03-14_09-26-37_0000046,acoustic,USGH2,acc,before,Wuschel,Olympia,14,3,2022,EO/MM,,
phees_2022-03-14_10-35-12_0000049,acoustic,USGH1,acc,before,Odin,Nougatti,14,3,2022,EO/MM,lots of vocalizations from both,
trills_2022-03-14_10-35-13_0000049,acoustic,USGH2,acc,before,Odin,Nougatti,14,3,2022,EO/MM,lots of vocalizations from both,
phees_2022-03-14_13-20-47_0000053,acoustic,USGH1,acc,before,Odin,Olympia,14,3,2022,RB/MM,,
trills_2022-03-14_13-20-48_0000053,acoustic,USGH2,acc,before,Odin,Olympia,14,3,2022,RB/MM,	,
phees_2022-03-14_13-55-14_0000054,acoustic,USGH1,acc,before,Wuschel,Nougatti,14,3,2022,RB/MM,,
trills_2022-03-14_13-55-15_0000054,acoustic,USGH2,acc,before,Wuschel,Nougatti,14,3,2022,RB/MM,,
phees_2022-03-15_09-35-25_0000056,acoustic,USGH1,acc,before,Wuschel,Lola,15,3,2022,EO/MM,"Lola pretty quiet, Wuschel food calls, some exchanges towards the end",
trills_2022-03-15_09-35-25_0000056,acoustic,USGH2,acc,before,Wuschel,Lola,15,3,2022,EO/MM,"Lola pretty quiet, Wuschel food calls, some exchanges towards the end",
phees_2022-03-15_10-42-01_0000058,acoustic,USGH1,acc,before,Tabor,Nougatti,15,3,2022,EO/MM,,
trills_2022-03-15_10-42-02_0000058,acoustic,USGH2,acc,before,Tabor,Nougatti,15,3,2022,EO/MM,,
phees_2022-03-15_13-18-10_0000060,acoustic,USGH1,acc,before,Odin,Nougatti,15,3,2022,EO/MM,,
trills_2022-03-15_13-18-10_0000060,acoustic,USGH2,acc,before,Odin,Nougatti,15,3,2022,EO/MM,,
phees_2022-03-15_14-09-36_0000061,acoustic,USGH1,acc,before,Tabor,Olympia,15,3,2022,EO/MM,,
trills_2022-03-15_14-09-36_0000061,acoustic,USGH2,acc,before,Tabor,Olympia,15,3,2022,EO/MM,,
phees_2022-03-16_09-27-47_0000063,acoustic,USGH1,acc,before,Wuschel,Nougatti,16,3,2022,EO/MM,not as vocal as other times,
trills_2022-03-16_09-27-47_0000063,acoustic,USGH2,acc,before,Wuschel,Nougatti,16,3,2022,EO/MM,not as vocal as other times,
phees_2022-03-16_10-12-17_0000065,acoustic,USGH1,acc,before,Odin,Lola,16,3,2022,EO/MM,"mostly Odin , phees & food calls",
trills_2022-03-16_10-12-18_0000065,acoustic,USGH2,acc,before,Odin,Lola,16,3,2022,EO/MM,"mostly Odin , phees & food calls",
phees_2022-03-16_13-53-05_0000067,acoustic,USGH1,acc,before,Odin,Olympia,16,3,2022,EO/MM,,
trills_2022-03-16_13-53-06_0000067,acoustic,USGH2,acc,before,Odin,Olympia,16,3,2022,EO/MM,,
phees_2022-03-16_14-28-55_0000068,acoustic,USGH1,acc,before,Tabor,Lola,16,3,2022,EO/MM,,
trills_2022-03-16_14-28-55_0000068,acoustic,USGH2,acc,before,Tabor,Lola,16,3,2022,EO/MM,,
phees_2022-03-17_09-51-16_0000070,acoustic,USGH1,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,
trills_2022-03-17_09-51-17_0000070,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,
trills_2022-03-17_09-57-25_0000071,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,
trills_2022-03-17_10-04-51_0000072,acoustic,USGH2,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,
phees_2022-03-17_13-35-29_0000074,acoustic,USGH1,acc,before,Tabor,Olympia,17,3,2022,RB/MM,,
trills_2022-03-17_13-35-30_0000074,acoustic,USGH2,acc,before,Tabor,Olympia,17,3,2022,RB/MM,,
phees_2022-03-17_14-11-17_0000076,acoustic,USGH1,acc,before,Odin,Lola,17,3,2022,RB/MM,"Second ""phase change"" at the beginning is the right one",
trills_2022-03-17_14-11-20_0000076,acoustic,USGH2,acc,before,Odin,Lola,17,3,2022,RB/MM,"Second ""phase change"" at the beginning is the right one",
phees_2022-03-18_09-14-46_0000079,acoustic,USGH1,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,,
trills_2022-03-18_09-14-46_0000079,acoustic,USGH2,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,Avisoft error,
trills_2022-03-18_09-20-28_0000081,acoustic,USGH2,acc,before,Wuschel,Olympia,18,3,2022,RB/MM,,
phees_2022-03-18_09-47-46_0000083,acoustic,USGH1,acc,before,Tabor,Lola,18,3,2022,RB/MM,,
trills_2022-03-18_09-47-49_0000083,acoustic,USGH2,acc,before,Tabor,Lola,18,3,2022,RB/MM,,
phees_2022-03-18_10-23-09_0000086,acoustic,USGH1,acc,before,Odin,Nougatti,18,3,2022,RB/MM,,
trills_2022-03-18_10-23-10_0000086,acoustic,USGH2,acc,before,Odin,Nougatti,18,3,2022,RB/MM,,
phees_2022-03-18_14-38-20_0000088,acoustic,USGH1,acc,before,Wuschel,Lola,21,3,2022,EO/MM,,
trills_2022-03-18_14-38-21_0000088,acoustic,USGH2,acc,before,Wuschel,Lola,21,3,2022,EO/MM,Avisoft error,
trills_2022-03-18_14-43-07_0000090,acoustic,USGH2,acc,before,Wuschel,Lola,21,3,2022,EO/MM,,
phees_2022-03-21_09-27-59_0000092,acoustic,USGH1,acc,before,Tabor,Nougatti,21,3,2022,EO/MM,,
trills_2022-03-21_09-28-00_0000092,acoustic,USGH2,acc,before,Tabor,Nougatti,21,3,2022,EO/MM,,
phees_2022-03-21_10-06-36_0000094,acoustic,USGH1,acc,before,Odin,Lola,21,3,2022,EO/MM,,
trills_2022-03-21_10-06-37_0000094,acoustic,USGH2,acc,before,Odin,Lola,21,3,2022,EO/MM,,
phees_2022-03-21_13-15-58_0000096,acoustic,USGH1,acc,before,Wuschel,Nougatti,21,3,2022,AT/MM,,
trills_2022-03-21_13-15-59_0000096,acoustic,USGH2,acc,before,Wuschel,Nougatti,21,3,2022,AT/MM,,
phees_2022-03-21_13-47-05_0000098,acoustic,USGH1,acc,before,Tabor,Lola,21,3,2022,AT/MM,,
trills_2022-03-21_13-47-06_0000098,acoustic,USGH2,acc,before,Tabor,Lola,21,3,2022,AT/MM,,
phees_2022-03-22_09-27-04_0000104,acoustic,USGH1,acc,before,Odin,Nougatti,22,3,2022,AT/MM,,
trills_2022-03-22_09-27-55_0000104,acoustic,USGH2,acc,before,Odin,Nougatti,22,3,2022,AT/MM,,
phees_2022-03-22_10-06-16_0000106,acoustic,USGH1,acc,before,Tabor,Olympia,22,3,2022,AT/MM,,
trills_2022-03-22_10-06-17_0000106,acoustic,USGH2,acc,before,Tabor,Olympia,22,3,2022,AT/MM,,
phees_2022-03-22_13-32-36_0000108,acoustic,USGH1,acc,before,Wuschel,Olympia,22,3,2022,AT/MM,,
trills_2022-03-22_13-32-36_0000108,acoustic,USGH2,acc,before,Wuschel,Olympia,22,3,2022,AT/MM,,
phees_2022-03-22_14-08-31_0000109,acoustic,USGH1,acc,before,Tabor,Nougatti,22,3,2022,AT/MM,,
trills_2022-03-22_14-08-31_0000109,acoustic,USGH2,acc,before,Tabor,Nougatti,22,3,2022,AT/MM,,
phees_2022-03-23_09-42-11_0000113,acoustic,USGH1,acc,before,Wuschel,Nougatti,23,3,2022,AT/MM,,
trills_2022-03-23_09-42-19_0000113,acoustic,USGH2,acc,before,Wuschel,Nougatti,23,3,2022,AT/MM,,
phees_2022-03-23_10-25-29_0000114,acoustic,USGH1,acc,before,Odin,Olympia,23,3,2022,AT/MM,lots of exchanges,
trills_2022-03-23_10-25-30_0000114,acoustic,USGH2,acc,before,Odin,Olympia,23,3,2022,AT/MM,lots of exchanges,
