file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,Unnamed: 12,file_prefix,date,time,ID,Date_Time,session_number
phees_2022-03-09_14-59-42_0000020,acoustic,USGH1,acc,before,Odin,Nougatti,9,3,2022,EO/MM,"both vocalizing, some exchanges",,phees,2022-03-09,14-59-42,0000020,2022-03-09 14:59:42,2
trills_2022-03-09_14-59-43_0000020,acoustic,USGH2,acc,before,Odin,Nougatti,9,3,2022,EO/MM,"both vocalizing, some exchanges",,trills,2022-03-09,14-59-43,0000020,2022-03-09 14:59:43,2
phees_2022-03-10_09-28-14_0000022,acoustic,USGH1,acc,before,Tabor,Lola,10,3,2022,EO/MM,"few vocalizations, mostly Tabor; Tabor eating throughout phase 2; Avisoft switched recorders",,phees,2022-03-10,09-28-14,0000022,2022-03-10 09:28:14,3
trills_2022-03-10_09-28-14_0000022,acoustic,USGH2,acc,before,Tabor,Lola,10,3,2022,EO/MM,"few vocalizations, mostly Tabor; Tabor eating throughout phase 2; Avisoft switched recorders",,trills,2022-03-10,09-28-14,0000022,2022-03-10 09:28:14,3
phees_2022-03-10_10-18-58_0000024,acoustic,USGH1,acc,before,Odin,Olympia,10,3,2022,EO/MM,"some exchanges (trills), phees form both, Odin food calls",,phees,2022-03-10,10-18-58,0000024,2022-03-10 10:18:58,3
trills_2022-03-10_10-18-58_0000024,acoustic,USGH2,acc,before,Odin,Olympia,10,3,2022,EO/MM,"some exchanges (trills), phees form both, Odin food calls",,trills,2022-03-10,10-18-58,0000024,2022-03-10 10:18:58,3
trills_2022-03-10_10-59-36_0000025,acoustic,USGH2,acc,before,Wuschel,Nougatti,10,3,2022,EO/MM,"mostly Nougatti vocalizing in the beginning, food calls Wuschel",,trills,2022-03-10,10-59-36,0000025,2022-03-10 10:59:36,1
phees_2022-03-10_10-59-37_0000025,acoustic,USGH1,acc,before,Wuschel,Nougatti,10,3,2022,EO/MM,"mostly Nougatti vocalizing in the beginning, food calls Wuschel",,phees,2022-03-10,10-59-37,0000025,2022-03-10 10:59:37,1
phees_2022-03-11_09-34-34_0000027,acoustic,USGH1,acc,before,Odin,Lola,11,3,2022,RB/MM,Odin food calls ,,phees,2022-03-11,09-34-34,0000027,2022-03-11 09:34:34,3
trills_2022-03-11_09-34-35_0000027,acoustic,USGH2,acc,before,Odin,Lola,11,3,2022,RB/MM,Odin food calls ,,trills,2022-03-11,09-34-35,0000027,2022-03-11 09:34:35,3
trills_2022-03-11_10-24-30_0000033,acoustic,USGH2,acc,before,Tabor,Olympia,11,3,2022,RB/MM,lots of exchanges in phase 3,,trills,2022-03-11,10-24-30,0000033,2022-03-11 10:24:30,3
phees_2022-03-11_10-24-31_0000033,acoustic,USGH1,acc,before,Tabor,Olympia,11,3,2022,RB/MM,lots of exchanges in phase 3,,phees,2022-03-11,10-24-31,0000033,2022-03-11 10:24:31,3
phees_2022-03-11_14-57-48_0000041,acoustic,USGH1,acc,before,Wuschel,Lola,11,3,2022,RB/MM,,,phees,2022-03-11,14-57-48,0000041,2022-03-11 14:57:48,3
trills_2022-03-11_14-57-49_0000041,acoustic,USGH2,acc,before,Wuschel,Lola,11,3,2022,RB/MM,,,trills,2022-03-11,14-57-49,0000041,2022-03-11 14:57:49,3
phees_2022-03-14_09-26-36_0000046,acoustic,USGH1,acc,before,Wuschel,Olympia,14,3,2022,EO/MM,,,phees,2022-03-14,09-26-36,0000046,2022-03-14 09:26:36,3
trills_2022-03-14_09-26-37_0000046,acoustic,USGH2,acc,before,Wuschel,Olympia,14,3,2022,EO/MM,,,trills,2022-03-14,09-26-37,0000046,2022-03-14 09:26:37,3
phees_2022-03-14_10-35-12_0000049,acoustic,USGH1,acc,before,Odin,Nougatti,14,3,2022,EO/MM,lots of vocalizations from both,,phees,2022-03-14,10-35-12,0000049,2022-03-14 10:35:12,3
trills_2022-03-14_10-35-13_0000049,acoustic,USGH2,acc,before,Odin,Nougatti,14,3,2022,EO/MM,lots of vocalizations from both,,trills,2022-03-14,10-35-13,0000049,2022-03-14 10:35:13,3
phees_2022-03-14_13-20-47_0000053,acoustic,USGH1,acc,before,Odin,Olympia,14,3,2022,RB/MM,,,phees,2022-03-14,13-20-47,0000053,2022-03-14 13:20:47,4
trills_2022-03-14_13-20-48_0000053,acoustic,USGH2,acc,before,Odin,Olympia,14,3,2022,RB/MM,	,,trills,2022-03-14,13-20-48,0000053,2022-03-14 13:20:48,4
phees_2022-03-14_13-55-14_0000054,acoustic,USGH1,acc,before,Wuschel,Nougatti,14,3,2022,RB/MM,,,phees,2022-03-14,13-55-14,0000054,2022-03-14 13:55:14,2
trills_2022-03-14_13-55-15_0000054,acoustic,USGH2,acc,before,Wuschel,Nougatti,14,3,2022,RB/MM,,,trills,2022-03-14,13-55-15,0000054,2022-03-14 13:55:15,2
phees_2022-03-15_09-35-25_0000056,acoustic,USGH1,acc,before,Wuschel,Lola,15,3,2022,EO/MM,"Lola pretty quiet, Wuschel food calls, some exchanges towards the end",,phees,2022-03-15,09-35-25,0000056,2022-03-15 09:35:25,4
trills_2022-03-15_09-35-25_0000056,acoustic,USGH2,acc,before,Wuschel,Lola,15,3,2022,EO/MM,"Lola pretty quiet, Wuschel food calls, some exchanges towards the end",,trills,2022-03-15,09-35-25,0000056,2022-03-15 09:35:25,4
phees_2022-03-15_10-42-01_0000058,acoustic,USGH1,acc,before,Tabor,Nougatti,15,3,2022,EO/MM,,,phees,2022-03-15,10-42-01,0000058,2022-03-15 10:42:01,4
trills_2022-03-15_10-42-02_0000058,acoustic,USGH2,acc,before,Tabor,Nougatti,15,3,2022,EO/MM,,,trills,2022-03-15,10-42-02,0000058,2022-03-15 10:42:02,4
phees_2022-03-15_13-18-10_0000060,acoustic,USGH1,acc,before,Odin,Nougatti,15,3,2022,EO/MM,,,phees,2022-03-15,13-18-10,0000060,2022-03-15 13:18:10,4
trills_2022-03-15_13-18-10_0000060,acoustic,USGH2,acc,before,Odin,Nougatti,15,3,2022,EO/MM,,,trills,2022-03-15,13-18-10,0000060,2022-03-15 13:18:10,4
