.draw,partner_after,nonpartner_after,nonpartner_minus_partner
1,0.7648217740739536,-0.6202805508615723,-1.3851023249355259
2,0.5889953396395802,-0.39980376499787623,-0.9887991046374565
3,0.6925896269742094,-0.6245118977916703,-1.3171015247658797
4,0.36695859605024433,-0.6110549375392359,-0.9780135335894802
5,0.5802734297953845,-0.5451693233364149,-1.1254427531317994
6,0.535560823266378,-0.37733906175771253,-0.9128998850240906
7,0.31266876689284356,-0.6144954488977765,-0.9271642157906201
8,-0.7281059931835258,-0.6008131976961479,0.12729279548737782
9,0.10666570425182505,-0.683902297737929,-0.7905680019897541
10,0.2256689939667157,-0.8022536638019178,-1.0279226577686336
11,-0.027660216049998725,-0.62068322651856,-0.5930230104685613
12,0.5905788206066722,-0.45957827617196395,-1.0501570967786362
13,0.7539544203033648,-0.44717974895410384,-1.2011341692574686
14,0.39331603118629016,-0.5525426094415797,-0.94585864062787
15,0.02759479368562211,-0.5758415621563272,-0.6034363558419493
16,0.4917261769861489,-0.5300058924401843,-1.0217320694263332
17,1.1441590210675878,-0.5821733029221632,-1.726332323989751
18,0.3718530630339017,-0.6413356406355554,-1.0131887036694571
19,0.06426739595322838,-0.6393283440994545,-0.7035957400526829
20,0.9299957400894187,-0.7075500726455366,-1.6375458127349551
21,0.08266578088415333,-0.2561606973584456,-0.3388264782425989
22,0.7801582083625804,-0.5445860135635351,-1.3247442219261156
23,0.2576124407337679,-0.7257731326311865,-0.9833855733649544
24,0.5962375239134033,-0.6785404834492365,-1.2747780073626398
25,0.5002314392168691,-0.7104149752294637,-1.210646414446333
26,0.5684892654738525,-0.4820003329655273,-1.0504895984393798
27,0.2241202005138648,-0.5647918937356942,-0.788912094249559
28,0.61804602671462,-0.5135039002367406,-1.1315499269513607
29,0.7853862915791728,-0.5332264046440918,-1.3186126962232647
30,0.4671354429489688,-0.40849759349518466,-0.8756330364441535
31,-0.13137542721371262,-0.2928866870858562,-0.16151125987214357
32,0.9803344253384912,-0.7193930685628077,-1.699727493901299
33,0.6047743472173461,-0.3889627995654902,-0.9937371467828363
34,0.6049708374571555,-0.38679503781083746,-0.991765875267993
35,0.26890382761761467,-0.3229731648607042,-0.5918769924783189
36,0.20776312449196999,-0.730375489392864,-0.938138613884834
37,0.5299094219603387,-0.5645532202165233,-1.094462642176862
38,0.04967337340415689,-0.7778985572858035,-0.8275719306899604
39,0.32524008091784107,-0.7824706859270796,-1.1077107668449206
40,0.3562769388223434,-0.7796053765223898,-1.1358823153447333
41,0.3678320837745282,-0.879039803821271,-1.2468718875957991
42,0.47195170625267047,-0.6468631025399098,-1.1188148087925802
43,0.35918219573042776,-0.529237102368704,-0.8884192980991318
44,0.8391854376705425,-0.5351522884989047,-1.3743377261694474
45,0.663851100724604,-0.6558068900677115,-1.3196579907923156
46,0.6301929240164229,-0.49312566499209354,-1.1233185890085164
47,0.4559848150654944,-0.44053918948655435,-0.8965240045520487
48,0.324259916514875,-0.5595995859551707,-0.8838595024700457
49,0.18890471909555434,-0.5806583905564422,-0.7695631096519966
50,0.8095893576218659,-0.49229316595807193,-1.3018825235799378
51,0.22892117922808367,-0.44992751143300613,-0.6788486906610898
52,0.6322629132845147,-0.4656166185344256,-1.0978795318189403
53,0.5429054031397217,-0.5535784295658904,-1.0964838327056121
54,0.06868384684466622,-0.6033022723657105,-0.6719861192103768
55,0.2796217048957474,-0.3591961901587966,-0.638817895054544
56,-0.2500360364283878,-0.5809461676954698,-0.330910131267082
57,0.9159720422640074,-0.5559543888470087,-1.471926431111016
58,0.7567954390582655,-0.6009075498585276,-1.357702988916793
59,-0.06070048811614044,-0.5351660457536843,-0.4744655576375439
60,0.4123596659815217,-0.35787939976955535,-0.770239065751077
61,0.3205817168310053,-0.41903694805145514,-0.7396186648824604
