.draw,partner_after,nonpartner_after,nonpartner_minus_partner
1,0.5277299225720891,-0.7286837385916075,-1.2564136611636965
2,0.45734178954188337,-0.5496912703204038,-1.0070330598622872
3,0.5227529161433733,-0.7786162098588922,-1.3013691260022655
4,0.04297335417734016,-0.8060880971932444,-0.8490614513705845
5,0.6604790507470049,-0.7324667521350748,-1.3929458028820796
6,0.21145231839400735,-0.5499843693171872,-0.7614366877111945
7,0.16695715812015538,-0.711640967037812,-0.8785981251579673
8,-0.06295092861197299,-0.7076651383794564,-0.6447142097674834
9,0.1336533096582632,-0.7663463918755758,-0.899999701533839
10,0.2572869612789922,-0.9900714777691205,-1.2473584390481127
11,0.07066196276130063,-0.7247853629673794,-0.79544732572868
12,0.0933498265065246,-0.57504825426294,-0.6683980807694646
13,0.39957731043726735,-0.59299098742514,-0.9925682978624073
14,0.03775905502952748,-0.5874747071644512,-0.6252337621939786
15,0.13199340935189652,-0.7507625731868264,-0.8827559825387229
16,0.18386952818795813,-0.7489600818201805,-0.9328296100081386
17,0.7655499692812092,-0.9217949340179368,-1.687344903299146
18,0.1129687320453499,-0.9099139404595565,-1.0228826725049065
19,0.27492895842592613,-0.7385733983140362,-1.0135023567399624
20,0.7386848396949806,-0.870444627593108,-1.6091294672880885
21,-0.01972202556780822,-0.3813105541270291,-0.36158852855922086
22,0.5953996085663854,-0.6300321567856927,-1.225431765352078
23,0.14732281199174838,-0.8341418324074276,-0.9814646443991759
24,0.3973532596466215,-0.8387342599418426,-1.2360875195884642
25,0.2785147802142152,-0.9788007501375933,-1.2573155303518084
26,0.3276921796748975,-0.4173837767871579,-0.7450759564620554
27,0.3162077802594407,-0.6404541660930083,-0.956661946352449
28,0.1159932163767279,-0.5701796179758144,-0.6861728343525423
29,0.3595501363851521,-0.6404915250956255,-1.0000416614807777
30,0.8334636618382616,-0.6578006345050634,-1.4912642963433251
31,0.3298890100140871,-0.46691940387495195,-0.796808413889039
32,0.12770642108328228,-0.9570096049239921,-1.0847160260072743
33,0.45422939861196826,-0.6915568353487267,-1.145786233960695
34,0.29480862943095565,-0.6819047828294735,-0.9767134122604292
35,0.19561566356657673,-0.5434310346932714,-0.739046698259848
36,0.11950539102307811,-0.996792733737346,-1.1162981247604242
37,0.5964702377911761,-0.654439185467266,-1.2509094232584421
38,-0.10140394569177734,-1.0147487849928458,-0.9133448393010685
39,0.18642518968572627,-1.0038948259449225,-1.1903200156306488
40,0.4992305843942735,-1.0103779267420723,-1.5096085111363458
41,0.3072873621523888,-1.0401784885823866,-1.3474658507347754
42,0.1302313279312374,-0.8056286619616259,-0.9358599898928632
43,0.38179739506677746,-0.6529981001939893,-1.0347954952607668
44,0.5871201814605134,-0.6658511293149596,-1.252971310775473
45,0.4955635457252917,-0.8581209193999163,-1.353684465125208
46,0.4459564896844133,-0.6807970907959494,-1.1267535804803628
47,0.3156923953534255,-0.6316794866388378,-0.9473718819922633
48,0.23133974648058267,-0.5911503962171332,-0.8224901426977158
49,-0.05692992169573399,-0.6857075439712681,-0.6287776222755341
50,0.4242064737742275,-0.5182459219113283,-0.9424523956855558
51,0.030707465699731432,-0.46125967967152093,-0.49196714537125236
52,0.5104739012202615,-0.5839372906712769,-1.0944111918915382
53,0.22723460941561613,-0.6323396217526115,-0.8595742311682276
54,0.3041111577996161,-0.7204265342234462,-1.0245376920230622
55,-0.05519557795280246,-0.4320006335668676,-0.37680505561406513
56,-0.04094101679470536,-0.6807562904996695,-0.639815273704964
57,0.5208668675631273,-0.5440462344272666,-1.064913101990394
58,0.39431708224608997,-0.709550907594332,-1.103867989840422
59,-0.21385677221057273,-0.6903103990110142,-0.47645362680044145
60,0.09346479309495181,-0.4294887235791309,-0.5229535166740827
61,0.006568195765269985,-0.5396968102286388,-0.5462650059939088
62,0.1324985736415348,-0.5041159056881596,-0.6366144793296944
63,0.5522274909358882,-0.4493466588389212,-1.0015741497748094
64,0.41231321218905276,-0.6778729328064825,-1.0901861449955352
65,0.03530937948918712,-0.8272665314174104,-0.8625759109065975
66,0.6466595359169451,-0.5011431379348342,-1.1478026738517793
67,-0.1066122300375584,-0.7614720593697861,-0.6548598293322277
68,0.22220836960367465,-0.622825150338887,-0.8450335199425616
69,0.6010975470132467,-0.5380205417460251,-1.1391180887592718
70,-0.07589524982860221,-0.49933609126045514,-0.4234408414318529
71,0.6330510684816503,-0.6672588491368372,-1.3003099176184874
72,-0.14875641579812843,-0.437635514997175,-0.2888790991990466
73,0.7578121060649967,-0.8786595991120753,-1.636471705177072
74,0.9378960016514755,-0.8951769646970072,-1.8330729663484826
75,0.4325077167278508,-0.8008110247495671,-1.2333187414774178
76,-0.2421082826191541,-0.4885418119492919,-0.24643352933013782
77,0.5962278250895812,-0.5274917966187134,-1.1237196217082945
78,0.12537263214155941,-0.7044650393294208,-0.8298376714709803
79,0.5311775557488657,-0.7497408825036922,-1.280918438252558
80,-0.19021646263733677,-1.0176401301129112,-0.8274236674755744
81,0.47217025476585267,-0.7897351547132851,-1.2619054094791378
82,0.35686907673461776,-0.7376142257049898,-1.0944833024396075
83,0.3393585906581087,-0.8869605940112287,-1.2263191846693373
84,0.6383912217907193,-0.5086534637205952,-1.1470446855113146
85,0.10342986545354277,-0.9613706754941159,-1.0648005409476586
86,-0.04831099345807652,-0.7790641972031371,-0.7307532037450606
87,-0.0416836746710952,-0.4759867054163919,-0.4343030307452967
88,0.5536285477138795,-0.6452528268009572,-1.1988813745148366
89,0.3424958328758585,-0.6632922225080153,-1.0057880553838738
90,0.20515786365875488,-0.7089832848795835,-0.9141411485383384
91,0.5010124070043055,-0.8512285068405727,-1.352240913844878
92,0.25648816833713484,-0.6800252248470743,-0.9365133931842091
93,-0.09982365417821801,-0.8063588142632421,-0.706535160085024
94,0.0465796998760758,-0.7651361318415179,-0.81171583171759365
95,-0.23042139906024908,-0.7214708763204911,-0.49104947726024206
96,1.0079262512853806,-0.7015545594921088,-1.7094808107774893
97,0.022191662874524634,-0.7315324863409804,-0.7537241492155051
98,0.8421107254427117,-0.7629251901544777,-1.6050359155971894
99,0.6475067866492539,-0.7517555052018654,-1.3992622918511193
100,-0.24771441776446515,-0.840770833288303,-0.5930564155238379
101,-0.013242415740554125,-0.7928240241405703,-0.7795816084000162
102,0.5571345523461853,-0.7445962526270327,-1.301730804973218
103,0.32931179559030105,-0.55483949945715,-0.884151295047451
104,0.5183263782399701,-0.7570653439806955,-1.2753917222206654
105,-0.2299683911555224,-0.25847175435708414,-0.028503363201561743
106,0.4775685190562431,-0.37608042166268685,-0.8536489407189299
107,0.0319204587937038,-0.5146719672596435,-0.5465924260533472
108,0.18362609030584565,-0.48021615163703807,-0.6638422419428838
109,-0.05217573587092521,-0.3166982420178943,-0.2645225061469691
110,0.4617942584094216,-0.7930134459706085,-1.25480770438003
111,0.16693493615838795,-0.7313646567575326,-0.8982995929159205
112,0.3778519834950456,-0.5595068540063887,-0.9373588375014343
113,0.4798616666934768,-0.7740081317313295,-1.2538697984248064
114,0.6522836163306612,-0.7085300540464455,-1.3608136703771068
115,0.18533373880092227,-0.7499960292872448,-0.9353297680881671
116,0.8385537717038868,-0.7700760554636247,-1.6086298271675115
117,0.022397330673798024,-0.6045785698156105,-0.6269759004894085
118,0.5629812272702395,-0.7513079579174964,-1.3142891851877359
119,0.3540713894928471,-0.6107243491244952,-0.9647957386173424
120,0.11356921082769829,-0.40510527050843625,-0.5186744813361346
121,0.32411348148960073,-0.7404363158685979,-1.0645497973581985
122,0.1841392748395873,-0.812314305792225,-0.9964535806318122
123,0.3677504684220783,-0.6016721779052702,-0.9694226463273485
124,0.15641730361042494,-0.609083223831637,-0.765500527442062
125,0.35060252586673774,-0.8720594791866283,-1.222662005053366
126,0.4028295898805295,-0.5440348837178673,-0.9468644735983969
127,0.27141081892385316,-0.7387263819276505,-1.0101372008515037
128,0.216967114425981,-0.5369921906659467,-0.7539593050919278
129,0.1712016818535769,-0.7877434538652547,-0.9589451357188316
130,0.008778808838333915,-0.7821444930531012,-0.7909233018914351
131,0.6167668902946709,-0.6242814622051901,-1.241048352499861
132,-0.11998684052309208,-0.5038898187795425,-0.3839029782564505
133,-0.293816322128536,-0.5370599104589938,-0.24324358833045784
134,-0.2956810711244512,-0.5014718143527207,-0.2057907432282695
135,0.5781664144623082,-0.6933162697961821,-1.2714826842584903
136,0.3947473863995145,-0.6030808318680076,-0.9978282182675222
137,0.26094031118649524,-0.4981369471898257,-0.759077258376321
138,0.2846922385275489,-0.837210789798214,-1.1219030283257627
139,0.06074055932606201,-0.9013615429906858,-0.9621021023167479
140,0.10196087565053058,-0.5760981769875742,-0.6780590526381047
141,0.40395904757630446,-0.5490676028958308,-0.9530266504721352
142,0.1829035743673252,-0.655760382987585,-0.8386639573549102
143,0.3250155164931914,-0.7237409268365524,-1.0487564433297438
144,0.1817753822653237,-0.55396987521673,-0.7357452574820538
145,0.12260813725825989,-0.5570448097328856,-0.6796529469911455
146,0.2674659657955405,-0.8065464523326746,-1.0740124181282151
147,0.5508373171376424,-0.8108459250920246,-1.361683242229667
148,0.5846469949216873,-0.5708184300482855,-1.1554654249699727
149,-0.07760902534734299,-0.9266837939420132,-0.8490747685946702
150,0.322289991841677,-0.6246918730517541,-0.9469818648934312
151,0.28512097033331824,-0.6746708022527913,-0.9597917725861096
152,-0.07256480260306725,-0.5771869357836088,-0.5046221331805416
153,0.064371611895235,-0.5660830174944271,-0.6304546293896621
154,0.3600028693848203,-0.6481118093933874,-1.0081146787782078
155,0.4991990077870553,-0.7670218432962306,-1.2662208510832857
156,0.2954252402686761,-0.5825099802679914,-0.8779352205366675
157,0.36775053362694554,-0.4758038800852651,-0.8435544137122106
158,-0.010629475529303746,-0.8228983839099029,-0.8122689083805992
159,0.5907999451564289,-0.8777067107824001,-1.4685066559388291
160,0.5329936902532372,-0.6802471269314343,-1.2132408171846714
161,0.5729177491796318,-0.5588683726785807,-1.1317861218582124
162,0.6083908469124989,-0.6839945586869042,-1.292385405599403
163,0.10703612358932121,-0.50434860102202,-0.6113847246113412
164,0.6512445465239425,-0.9453498384581651,-1.5965943849821076
165,0.34332908591739336,-0.6891706551895301,-1.0324997411069234
166,0.36693789436324314,-0.7879992228738951,-1.1549371172371383
167,0.38946590705745027,-0.37543345755672314,-0.7648993646141734
168,-0.11139560647214775,-0.8637312808437937,-0.752335674371646
169,-0.005383870895322579,-0.7804134413837558,-0.7750295704884332
170,0.7906264371433235,-0.32153440385038007,-1.1121608409937036
171,0.03456000049826127,-0.5768758304476729,-0.6114358309459341
172,0.6493861024728647,-0.7735089915194394,-1.4228950939923042
173,0.522552809511512,-0.8010817997965225,-1.3236346093080344
174,0.1763120677879459,-0.5468893394308207,-0.7232014072187667
175,0.3982762549593761,-0.7508876652360797,-1.1491639201954558
176,0.007813669325513417,-0.6374696280209499,-0.6452832973464633
177,0.23446489734451717,-0.8824074139701612,-1.1168723113146783
178,0.22315701563478502,-0.8968814417863238,-1.1200384574211089
179,0.383081990147087,-0.6522223900340537,-1.0353043801811408
180,-0.20237807299231714,-0.5510691954033425,-0.3486911224110254
181,0.5522121813858831,-0.7677084681851103,-1.3199206495709934
182,0.4114809424927816,-0.9073114596904042,-1.3187924021831858
183,-0.04666429616085749,-0.7781506389979648,-0.7314863428371072
184,0.36287942900906717,-0.7498212316015003,-1.1127006606105674
185,0.11965353384197516,-0.7866474166805628,-0.906300950522538
186,0.43244047665888624,-0.6970265017900095,-1.1294669784488958
187,-0.01632289311215912,-0.6303853924026783,-0.6140624992905193
188,0.38551216906996966,-0.5367476421010792,-0.9222598111710488
189,0.1935033874318312,-0.5302016585816595,-0.7237050460134906
190,0.29127043778038497,-0.521748564015505,-0.8130190017958899
191,0.4209792409441797,-0.6552548132258756,-1.0762340541700555
192,0.7780262034815795,-0.7805911929788852,-1.5586173964604648
193,0.001289763583744774,-0.5954755825463962,-0.596765346130141
194,0.11499822329873917,-0.6803177169907607,-0.7953159402894999
195,0.171003656042782,-0.6435067385883332,-0.8145103946311152
196,-0.34222602250741935,-0.7340119293522224,-0.391785906844803
197,0.18190908484049767,-0.6989417662831366,-0.8808508511236344
198,0.01139425008350467,-0.6183487261291067,-0.6297429762126114
199,0.18879163756589987,-0.7837907774204897,-0.9725824149863896
200,0.22512605139892589,-0.7239159145135697,-0.9490419659124956
201,0.3837503681480826,-0.7194255857545017,-1.1031759539025843
202,0.4600591385058176,-0.7241178948252627,-1.1841770333310802
203,0.20633798302044043,-0.5850290438276109,-0.7913670268480513
204,0.42603339623823655,-0.881678862405667,-1.3077122586439036
205,0.42137849403285244,-0.8779482766475725,-1.299326770680425
206,0.2792473275465681,-0.47676780603964775,-0.7560151335862159
207,0.4416507772817345,-0.8351665405154778,-1.2768173177972124
208,-0.37646847111252146,-0.742671679671681,-0.36620320855915955
209,0.9655202944471851,-0.7557969405912581,-1.7213172350384434
210,-0.6815428032197125,-0.8074652397484995,-0.12592243652878699
