pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,n_calls_1,n_calls_2,n_call_pairs,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__6,19,33,627,T_PC_pairwise,5.056423236498612,1.2925291419590288,0.6501529510332732
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__6,19,33,627,M_PC_pairwise,17.654924496889496,1.435478247272657,0.8045499364133399
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__6,19,33,627,spectro_DTW,0.01112279434134349,0.3848410314860295,0.5368885420864598
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__6,19,33,627,chatter_cosine,0.9668000607589405,-0.03674620714242976,0.5306262688394245
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__3,21,45,945,T_PC_pairwise,5.425412017075473,1.7106803471339185,0.7388370222352076
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__3,21,45,945,M_PC_pairwise,17.68555615995296,1.445347654505981,0.8067445123819534
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__3,21,45,945,spectro_DTW,0.013903716615051347,1.1833309449890896,0.7034775975230957
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__3,21,45,945,chatter_cosine,1.0520823730362787,1.4466927056159178,0.7622370960582282
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,21,20,420,T_PC_pairwise,4.664113440967742,0.8479497334830103,0.555863824448762
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,21,20,420,M_PC_pairwise,15.543416739645458,0.7551583479127031,0.6532729988214075
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,21,20,420,spectro_DTW,0.011542516930716201,0.5053565371699199,0.5620317078520357
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,21,20,420,chatter_cosine,1.0058783182076045,0.6429985862869245,0.6367555152477624
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,31,45,1395,T_PC_pairwise,5.583836155553018,1.8902122134676707,0.7769132411242564
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,31,45,1395,M_PC_pairwise,17.471720252840324,1.3764505252828847,0.7914244449731489
