pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,group_id_1,group_id_2,n_seq_1,n_seq_2,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,73,6,8,9,transition_matrix,1.135292410850525,0.03863935665288155,0.48174851533745916
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,73,6,8,9,bigram,0.4598543643951416,0.7756838233264195,0.5155589954457922
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,73,6,8,9,repeat_A_len,0.7070282101631165,0.8347528439024673,0.5000319107463591
Tabor-Lola,Partner,after,Tabor,Lola,3,Tabor__Lola__after__3,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,73,6,8,9,local_alignment,1.3976167440414429,0.7650394901816743,0.524368827169009
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,74,5,9,20,transition_matrix,0.796169102191925,-0.6021332468531831,0.32646705355562244
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,74,5,9,20,bigram,0.3851744532585144,0.3369323292020751,0.4216190890802809
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,74,5,9,20,repeat_A_len,0.9506967067718506,1.6966260534337245,0.6723617021133093
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,74,5,9,20,local_alignment,1.1845464706420898,0.04718390961677279,0.39109279511588485
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,74,6,9,9,transition_matrix,0.5120531916618347,-1.1389695156663602,0.1963729763389953
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,74,6,9,9,bigram,0.22725297510623932,-0.5908711917056092,0.2229695641285582
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,74,6,9,9,repeat_A_len,1.0302876234054565,1.9781449191190552,0.7286508254471215
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,74,6,9,9,local_alignment,1.1931191682815552,0.07606620625442488,0.39645504066591375
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__4,82,14,5,5,transition_matrix,1.5,0.7277533911381754,0.6487447851900648
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__4,82,14,5,5,bigram,0.5448139905929565,1.2748296092170883,0.6224297617388871
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__4,82,14,5,5,repeat_A_len,0.5650075674057007,0.3324154925559225,0.3995905813303333
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__4,82,14,5,5,local_alignment,1.743428111076355,1.930113414799555,0.7406747721606748
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,82,15,5,12,transition_matrix,1.5,0.7277533911381754,0.6487447851900648
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,82,15,5,12,bigram,0.35353130102157593,0.15102583692785476,0.38181514832827174
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,82,15,5,12,repeat_A_len,0.5656430125236511,0.33466310819319683,0.40003998749537145
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,82,15,5,12,local_alignment,1.3077943325042725,0.4624185832243607,0.4681846659149447
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__6,83,14,18,5,transition_matrix,1.1638232469558716,0.09254829674827422,0.49481252427810174
