metric_a,metric_b,pearson_r,spearman_r
local_alignment,bigram,0.6507804989814758,0.5785377311197172
local_alignment,repeat_A,0.19971010088920593,0.23700111336028964
local_alignment,transition_probability,0.5214152336120605,0.5399973025794018
bigram,repeat_A,0.06179957091808319,0.04953572215634035
bigram,transition_probability,0.3906276822090149,0.37961917115366234
repeat_A,transition_probability,0.05846176669001579,0.07047358025608615
