call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
2331,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_06_labelled_mC3.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-10.387826,-3.7570717,PaCMAP
2332,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_08_labelled_mB1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-8.176485,-0.4441827,PaCMAP
2333,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_08_labelled_mB2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-8.743282,-0.8001359,PaCMAP
2334,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_09_labelled_mC1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-10.450819,-0.8866529,PaCMAP
2335,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_09_labelled_mC2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-6.902126,-1.4482692,PaCMAP
2336,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_09_labelled_mC3.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-11.394054,-2.646219,PaCMAP
2337,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_11_labelled_mB1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-5.7139544,0.6386721,PaCMAP
2338,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_11_labelled_mB2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-5.755911,-3.117506,PaCMAP
2339,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_12_labelled_mC1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-9.805976,0.958795,PaCMAP
2340,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_12_labelled_mC2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-11.093523,-2.3760364,PaCMAP
2341,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_12_labelled_mC5.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-11.463367,-3.3073769,PaCMAP
2342,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_13_labelled_mB1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-10.550842,0.5082258,PaCMAP
2343,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_13_labelled_mB2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-5.0960565,-2.3100314,PaCMAP
2344,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_14_labelled_mC1.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-8.347019,0.6714116,PaCMAP
2345,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_14_labelled_mC2.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-5.3736224,-2.5444489,PaCMAP
2346,before_phees_2022-03-07_09-19-31_0000054_labelled_Wuschel_pheeseq_14_labelled_mC5.wav,Wuschel,Lola,before,non-partner,Wuschel-Olympia,-14.4275675,-2.5154533,PaCMAP
