call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
1930,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000006_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,7.321677,-7.614461,PaCMAP
1931,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000007_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-2.763958,2.764113,PaCMAP
1932,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000007_labelled_mB3.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.708143,-6.6938324,PaCMAP
1933,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000008_labelled_mC1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.5286206,2.4264786,PaCMAP
1934,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000008_labelled_mC3.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.5644155,-6.3460207,PaCMAP
1935,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000008_labelled_mC4.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,9.439443,-6.6948647,PaCMAP
1936,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000009_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-2.567449,1.8294225,PaCMAP
1937,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000009_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.8425117,-5.867796,PaCMAP
1938,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000010_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.1683918,2.5227494,PaCMAP
1939,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000010_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-0.33246052,1.1186178,PaCMAP
1940,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000011_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.1576135,2.3659434,PaCMAP
1941,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000011_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.840424,-6.0351458,PaCMAP
1942,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000026_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-5.6241283,5.568697,PaCMAP
1943,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000026_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-4.0968904,4.7915325,PaCMAP
1944,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000027_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-6.236239,5.7199097,PaCMAP
