call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
3448,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_15_labelled_mC3.wav,Nougatti,Odin,before,partner,Odin-Nougatti,3.387073,3.1673856,UMAP
3449,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_19_labelled_mC1.wav,Nougatti,Odin,before,partner,Odin-Nougatti,9.7926855,1.6848836,UMAP
3450,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_19_labelled_mC2.wav,Nougatti,Odin,before,partner,Odin-Nougatti,8.55693,3.2469223,UMAP
3451,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_19_labelled_mC3.wav,Nougatti,Odin,before,partner,Odin-Nougatti,2.7437081,5.3128366,UMAP
3452,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_38_labelled_mC1.wav,Nougatti,Odin,before,partner,Odin-Nougatti,9.83308,2.4783037,UMAP
3453,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_38_labelled_mC2.wav,Nougatti,Odin,before,partner,Odin-Nougatti,10.120979,3.8740926,UMAP
3454,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_38_labelled_mC3.wav,Nougatti,Odin,before,partner,Odin-Nougatti,5.0242643,3.1738858,UMAP
3455,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_48_labelled_mC2.wav,Nougatti,Odin,before,partner,Odin-Nougatti,6.1485887,3.5840707,UMAP
3456,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_48_labelled_mC3.wav,Nougatti,Odin,before,partner,Odin-Nougatti,-3.1679718,5.352388,UMAP
3457,before_trills_2022-03-22_09-27-55_0000104_labelled_Nougatti_pheeseq_60_labelled_mB2.wav,Nougatti,Odin,before,partner,Odin-Nougatti,7.4684563,1.9565622,UMAP
3458,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_03_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,5.522507,3.039166,UMAP
