analysis,metric,rows,raw_mean,raw_population_sd,z_mean,z_population_sd
Call structure,M_PC_pairwise,431,13.199633012217532,3.103698361947883,1.2261395817205907e-16,1
Call structure,T_PC_pairwise,431,3.915857943252489,0.8824290735274406,-4.0184406459750443e-16,1
Call structure,chatter_cosine,431,0.9689125855724506,0.05748960172465874,3.4105227020967684e-16,1
Call structure,spectro_DTW,431,0.00978249814198254,0.0034827268656502557,4.502714262284857e-16,0.9999999999999999
Sequence structure,bigram,331,0.3278251866672154,0.17021004403796408,2.9382337449294175e-16,1
Sequence structure,local_alignment,331,1.1705415805300916,0.2968149571696327,4.477787727717776e-16,1
Sequence structure,repeat_A_len,331,0.47102717397334637,0.2827196551813659,-2.0795718286030124e-16,1
Sequence structure,transition_matrix,331,1.1148428685310383,0.5292412734299902,9.458697672033056e-17,1
