pair,stage,session_focal,session_partner,metric,distance,z_distance,distance_01
Tabor-Lola,before,1.0,1.0,local_alignment,-2.772794147668141,0.022094691187748944,0.23099932427015532
Tabor-Lola,before,1.0,1.0,transition_matrix,1.0548992842921072,-0.3229001388878544,0.49673663072339497
Tabor-Lola,before,1.0,1.0,bigram,0.3996180642356683,0.9471354028100589,0.5629314341767362
Tabor-Lola,before,1.0,1.0,repeat_A_len,0.7069300511281791,1.3695252032493976,0.6185534674880288
Tabor-Lola,before,1.0,3.0,local_alignment,-2.237581293725261,3.638514571509853,0.8593046312427157
Tabor-Lola,before,1.0,3.0,transition_matrix,1.6621710200818687,0.8929547571805775,0.8012354732796754
Tabor-Lola,before,1.0,3.0,bigram,0.5445691037987119,2.1112898174969907,0.7994864783583432
Tabor-Lola,before,1.0,3.0,repeat_A_len,0.7064006260018705,1.3672859865084983,0.6180902209571618
Tabor-Lola,before,1.0,4.0,local_alignment,-2.6252430458820557,1.0190937989849207,0.404214783538142
Tabor-Lola,before,1.0,4.0,transition_matrix,1.700899589505579,0.9704955317241277,0.8206547939369156
Tabor-Lola,before,1.0,4.0,bigram,0.44668446468041795,1.3251427494724284,0.6397421591652557
Tabor-Lola,before,1.0,4.0,repeat_A_len,0.505040202464,0.515627066418306,0.44190002328332323
Tabor-Lola,before,1.0,6.0,local_alignment,-2.7814940235497794,-0.03669015275407739,0.2207862321402355
Tabor-Lola,before,1.0,6.0,transition_matrix,0.172124676999357,-2.0903557360200167,0.054094843996509066
Tabor-Lola,before,1.0,6.0,bigram,0.14212877907581872,-1.1208545126610034,0.14271789579237124
Tabor-Lola,before,1.0,6.0,repeat_A_len,0.5892065533879705,0.8716107412458449,0.5155455080624661
Tabor-Lola,before,2.0,1.0,local_alignment,-2.2055717584122903,3.854802201773035,0.8968817573574999
Tabor-Lola,before,2.0,1.0,transition_matrix,0.9293426095635631,-0.5742846323621607,0.4337798687388507
Tabor-Lola,before,2.0,1.0,bigram,0.5496280673998891,2.1519201905374645,0.8077425306212117
Tabor-Lola,before,2.0,1.0,repeat_A_len,0.3534208577757493,-0.1256507233937164,0.30923322688687727
Tabor-Lola,before,2.0,3.0,local_alignment,-2.259346744246132,3.4914459662101645,0.8337533987374302
Tabor-Lola,before,2.0,3.0,transition_matrix,1.324608159743667,0.2171000577365093,0.6319743432037073
Tabor-Lola,before,2.0,3.0,bigram,0.4428229960406596,1.2941298931472784,0.633440376939771
Tabor-Lola,before,2.0,3.0,repeat_A_len,0.3528917200383734,-0.1278887246159763,0.3087702318210797
Tabor-Lola,before,2.0,4.0,local_alignment,-2.1177319640865084,4.448333497112711,1.0
Tabor-Lola,before,2.0,4.0,transition_matrix,1.477263834903738,0.522741073310239,0.70851911493664
Tabor-Lola,before,2.0,4.0,bigram,0.516380566808762,1.8848974447389912,0.7534837685249149
Tabor-Lola,before,2.0,4.0,repeat_A_len,0.15153100076619583,-0.9795488955217767,0.13257977537997628
Tabor-Lola,before,2.0,6.0,local_alignment,-2.3777176978001764,2.691616390870376,0.6947935479761742
Tabor-Lola,before,2.0,6.0,transition_matrix,0.4800959178982323,-1.4737481795886358,0.20851811263813516
Tabor-Lola,before,2.0,6.0,bigram,0.27972382956365377,-0.015778716396593236,0.36726822220216426
Tabor-Lola,before,2.0,6.0,repeat_A_len,0.23569735034058373,-0.6235652264023306,0.2062252589782357
Tabor-Lola,before,3.0,1.0,local_alignment,-2.302883280063827,3.1972706815704766,0.7826443188639899
Tabor-Lola,before,3.0,1.0,transition_matrix,1.1384304376895968,-0.15565744365439493,0.538620910902923
Tabor-Lola,before,3.0,1.0,bigram,0.592630847293505,2.497291125495057,0.8779215685110496
Tabor-Lola,before,3.0,1.0,repeat_A_len,0.6801119967072959,1.2560975749909888,0.595087692900231
Tabor-Lola,before,3.0,3.0,local_alignment,-2.582114482129619,1.3105124265739672,0.4548449305686771
Tabor-Lola,before,3.0,3.0,transition_matrix,0.7359023826178848,-0.9615828271688371,0.33678486347620606
Tabor-Lola,before,3.0,3.0,bigram,0.322547867093512,0.3281566737557513,0.4371555587845588
Tabor-Lola,before,3.0,3.0,repeat_A_len,0.6795116198677449,1.253558266214043,0.594562363681208
Tabor-Lola,before,3.0,4.0,local_alignment,-2.3101106939473706,3.1484352265562494,0.7741598019745612
Tabor-Lola,before,3.0,4.0,transition_matrix,1.0699693737090001,-0.2927274156704811,0.5042930910593856
Tabor-Lola,before,3.0,4.0,bigram,0.4861280641777602,1.641928614716278,0.7041127387064756
Tabor-Lola,before,3.0,4.0,repeat_A_len,0.49381561383096867,0.4681523895890418,0.43207851786873325
Tabor-Lola,before,3.0,6.0,local_alignment,-2.3561866399936404,2.8371012104562507,0.7200696185804563
Tabor-Lola,before,3.0,6.0,transition_matrix,1.1548215286826429,-0.12283986453574859,0.5468397492605591
Tabor-Lola,before,3.0,6.0,bigram,0.3602619590920964,0.6310522364810223,0.49870364237118325
Tabor-Lola,before,3.0,6.0,repeat_A_len,0.5702022460169511,0.7912315504977663,0.49891675543310676
Tabor-Lola,before,4.0,1.0,local_alignment,-2.8853900817779268,-0.7387132220719805,0.09881897317518468
Tabor-Lola,before,4.0,1.0,transition_matrix,0.881917103688197,-0.6692380611465507,0.40999972091439385
Tabor-Lola,before,4.0,1.0,bigram,0.32439958148258136,0.3430284641704507,0.4401774921245229
Tabor-Lola,before,4.0,1.0,repeat_A_len,0.652541414563325,1.1394871120090408,0.5709634572009777
Tabor-Lola,before,4.0,3.0,local_alignment,-2.662403637822001,0.7680006078066358,0.3605906497863
Tabor-Lola,before,4.0,3.0,transition_matrix,1.5048071120394282,0.5778871082490239,0.7223298943846861
Tabor-Lola,before,4.0,3.0,bigram,0.5678940828340744,2.2986211908928142,0.837552031133116
Tabor-Lola,before,4.0,3.0,repeat_A_len,0.6520120612314536,1.1372481989244994,0.5705002734901817
Tabor-Lola,before,4.0,4.0,local_alignment,-2.5798106987685356,1.3260790331784245,0.45754942337227916
Tabor-Lola,before,4.0,4.0,transition_matrix,1.483073218974541,0.5343723870193184,0.711432062504048
Tabor-Lola,before,4.0,4.0,bigram,0.3917238069065549,0.883733756653772,0.5500482813763231
Tabor-Lola,before,4.0,4.0,repeat_A_len,0.4506515524129184,0.2855889181376139,0.3943100011958346
Tabor-Lola,before,4.0,6.0,local_alignment,-2.8853900817779263,-0.7387132220719775,0.09881897317518519
Tabor-Lola,before,4.0,6.0,transition_matrix,0.24643971491442632,-1.9415651742741469,0.09135796970453453
Tabor-Lola,before,4.0,6.0,bigram,0.073457942813232,-1.6723749255971518,0.030649484589160062
Tabor-Lola,before,4.0,6.0,repeat_A_len,0.534817904882047,0.6415725995004378,0.46795548732698966
Tabor-Lola,before,5.0,1.0,local_alignment,-2.772794147668141,0.022094691187748944,0.23099932427015532
Tabor-Lola,before,5.0,1.0,transition_matrix,1.0003024117404884,-0.4322117878411517,0.46936060855839146
Tabor-Lola,before,5.0,1.0,bigram,0.179211586057208,-0.8230290290597513,0.20323574423488122
Tabor-Lola,before,5.0,1.0,repeat_A_len,1.1428693732796258,3.2133414100549293,1.0
Tabor-Lola,before,5.0,3.0,local_alignment,-2.319006554955112,3.088326116014574,0.7637166359704601
