pair,stage,session_focal,session_partner,sess_pair,metric,distance,z_distance,distance_01
Tabor-Lola,before,3.0,6.0,"(3.0,6.0)",T_PC_pairwise,4.692977166115208,0.8949285557245692,0.6386067055125573
Tabor-Lola,before,3.0,6.0,"(3.0,6.0)",M_PC_pairwise,16.875271902477408,1.4490125759370232,0.8408126453272863
Tabor-Lola,before,3.0,6.0,"(3.0,6.0)",spectro_DTW,0.01493832306051138,1.0715292479614096,0.7711193358914141
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",T_PC_pairwise,4.590055136691723,0.7732482582780879,0.6086387351026218
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",M_PC_pairwise,15.517768804323872,0.9671551682971969,0.7177498521170639
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",spectro_DTW,0.015143666556025738,1.1293315920029783,0.7861206343880806
Tabor-Lola,before,4.0,3.0,"(4.0,3.0)",T_PC_pairwise,4.822465477159453,1.048017027570335,0.6763100222421535
Tabor-Lola,before,4.0,3.0,"(4.0,3.0)",M_PC_pairwise,14.107817066110364,0.466680664484325,0.5899323911976944
Tabor-Lola,before,4.0,3.0,"(4.0,3.0)",spectro_DTW,0.015968021187520977,1.3613799941332363,0.8463435786950985
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",T_PC_pairwise,3.949041065369097,0.015404837362024894,0.42199365212716394
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",M_PC_pairwise,14.674139058013335,0.6677015293935585,0.6412716229642756
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",spectro_DTW,0.013300613284265008,0.6105287001246524,0.6514770110013967
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",T_PC_pairwise,4.4347769594207875,0.5896695346257181,0.5634261421540578
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",M_PC_pairwise,14.848138425998359,0.7294641025341091,0.6570453241588998
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",spectro_DTW,0.01149353865976446,0.10185347331735291,0.5194617953259203
Tabor-Lola,before,4.0,6.0,"(4.0,6.0)",T_PC_pairwise,4.57480334950087,0.7552167249672029,0.604197848056434
Tabor-Lola,before,4.0,6.0,"(4.0,6.0)",M_PC_pairwise,16.50406059266343,1.3172479267978445,0.8071609352729444
Tabor-Lola,before,4.0,6.0,"(4.0,6.0)",spectro_DTW,0.015404230044521744,1.2026778665903046,0.8051560104951752
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",T_PC_pairwise,4.615128598129676,0.8028915354547308,0.6159394146039509
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",M_PC_pairwise,16.359522600467592,1.2659429225443117,0.7940580192878457
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",spectro_DTW,0.013041627584847483,0.5376265589485691,0.632556899733209
Tabor-Lola,before,5.0,3.0,"(5.0,3.0)",T_PC_pairwise,5.018718214800784,1.2800382151105274,0.7334532428670112
Tabor-Lola,before,5.0,3.0,"(5.0,3.0)",M_PC_pairwise,15.221718366862351,0.8620695176494145,0.6909117595818214
Tabor-Lola,before,5.0,3.0,"(5.0,3.0)",spectro_DTW,0.014257724366941607,0.8799468472556043,0.721398432226523
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",T_PC_pairwise,3.9454626305762655,0.011174207511218314,0.4209517135977145
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",M_PC_pairwise,15.320284611770557,0.8970564545609121,0.6998471626988717
