pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,after,Tabor,Lola,3.0,Tabor__Lola__after__3,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,bigram,0.4598543607413236,0.7756838094588097,0.5155590008665389
Tabor-Lola,Partner,after,Tabor,Lola,3.0,Tabor__Lola__after__3,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,repeat_A_len,0.7070282235858886,0.8347528986626752,0.50003193744931
Tabor-Lola,Partner,after,Tabor,Lola,3.0,Tabor__Lola__after__3,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__3,local_alignment,-2.314433777677604,1.5428770017332571,0.5338422803855556
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,3.0,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,transition_matrix,0.7961690814910964,-0.6021332878524,0.32646703305576913
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,3.0,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,bigram,0.3851744605050113,0.33693237675823723,0.4216191063658203
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,3.0,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,repeat_A_len,0.950696678969268,1.6966259679125986,0.6723617055916292
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,3.0,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,local_alignment,-2.219096571990609,1.9823186599972757,0.6109479372396197
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,transition_matrix,0.5120531622882338,-1.138969570499699,0.19637295623990544
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,bigram,0.227252968960678,-0.5908712283622329,0.22296956066306134
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,repeat_A_len,1.0302875786574497,1.9781447754689048,0.7286508188784633
Tabor-Lola,Partner,after,Tabor,Lola,5.0,Tabor__Lola__after__5,Lola,Tabor,5.0,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,local_alignment,-2.239003633055761,1.8905602340753505,0.5948477483532163
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,1.0,Nougatti__Odin__before__1,Nougatti__Odin__before__1||Odin__Nougatti__before__1,transition_matrix,1.2953606384607608,0.3410878471138799,0.5550422742476319
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,1.0,Nougatti__Odin__before__1,Nougatti__Odin__before__1||Odin__Nougatti__before__1,bigram,0.35404066726172667,0.1540184153352878,0.38245588783678375
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,1.0,Nougatti__Odin__before__1,Nougatti__Odin__before__1||Odin__Nougatti__before__1,repeat_A_len,0.27607372277576997,-0.6895645503722997,0.19524776221559478
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,1.0,Nougatti__Odin__before__1,Nougatti__Odin__before__1||Odin__Nougatti__before__1,local_alignment,-2.5955786344953093,0.24698458279669153,0.306461388530571
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,2.0,Nougatti__Odin__before__2,Nougatti__Odin__before__2||Odin__Nougatti__before__1,transition_matrix,1.2388725695552598,0.23435378937352058,0.529176904943475
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,2.0,Nougatti__Odin__before__2,Nougatti__Odin__before__2||Odin__Nougatti__before__1,bigram,0.20790018548144845,-0.7045706501797149,0.19862568188736243
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,2.0,Nougatti__Odin__before__2,Nougatti__Odin__before__2||Odin__Nougatti__before__1,repeat_A_len,0.3690328055084824,-0.36076150599199985,0.26099126253387067
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,2.0,Nougatti__Odin__before__2,Nougatti__Odin__before__2||Odin__Nougatti__before__1,local_alignment,-2.4571002559560213,0.8852786030641469,0.4184582344672259
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,3.0,Nougatti__Odin__before__3,Nougatti__Odin__before__3||Odin__Nougatti__before__1,transition_matrix,1.88698914643143,1.4589683580625317,0.8259435485526289
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,3.0,Nougatti__Odin__before__3,Nougatti__Odin__before__3||Odin__Nougatti__before__1,bigram,0.24188927056023402,-0.5048815808677602,0.24138057385124506
Odin-Nougatti,Partner,before,Odin,Nougatti,1.0,Odin__Nougatti__before__1,Nougatti,Odin,3.0,Nougatti__Odin__before__3,Nougatti__Odin__before__3||Odin__Nougatti__before__1,repeat_A_len,0.21619230536967818,-0.9013694839638162,0.15289779631053282
