pair,stage,session_focal,session_partner,metric,distance,z_distance,distance_01
Tabor-Lola,before,2.0,3.0,local_alignment,-2.234632017355639,2.342902483067089,0.7386570685536278
Tabor-Lola,before,2.0,3.0,transition_matrix,1.4630069550652882,0.5646379367101653,0.6701002851822508
Tabor-Lola,before,2.0,3.0,bigram,0.5064775283228657,1.1694205265856759,0.6410504385129984
Tabor-Lola,before,2.0,3.0,repeat_A_len,0.2013971618937275,-1.021946292290445,0.17088601569109796
Tabor-Lola,before,2.0,4.0,local_alignment,-2.180294534798877,2.599473535965846,0.7918124598585246
Tabor-Lola,before,2.0,4.0,transition_matrix,1.5700161636359602,0.7709403302413009,0.7214380603941873
Tabor-Lola,before,2.0,4.0,bigram,0.5053439761681141,1.1629135138370628,0.6395001798705016
Tabor-Lola,before,2.0,4.0,repeat_A_len,0.20203195102138335,-1.019600471523414,0.17142473775975783
Tabor-Lola,before,3.0,3.0,local_alignment,-2.1299771567445482,2.8370624351758518,0.8410352025043639
Tabor-Lola,before,3.0,3.0,transition_matrix,1.8220867158288598,1.2569055938921028,0.8423691608001992
Tabor-Lola,before,3.0,3.0,bigram,0.7234331207039254,2.4148266595004877,0.9377613403598051
Tabor-Lola,before,3.0,3.0,repeat_A_len,0.9789476715801401,1.8514396142606357,0.8307643923303718
Tabor-Lola,before,3.0,4.0,local_alignment,-2.3158234059672997,1.9595324945762702,0.6592319676993061
Tabor-Lola,before,3.0,4.0,transition_matrix,1.7378147196982767,1.0944381320576944,0.801939586076676
Tabor-Lola,before,3.0,4.0,bigram,0.23383897173763768,-0.3956266183798645,0.26818689019509473
Tabor-Lola,before,3.0,4.0,repeat_A_len,0.97968160398697,1.8541518123852263,0.8313872536353913
Tabor-Lola,before,4.0,3.0,local_alignment,-2.4598214251930184,1.27960177880408,0.5183665705753718
Tabor-Lola,before,4.0,3.0,transition_matrix,1.5835279647840523,0.7969896483794422,0.7279203605561498
Tabor-Lola,before,4.0,3.0,bigram,0.5761831899532016,1.5695570593228874,0.73638068328419
Tabor-Lola,before,4.0,3.0,repeat_A_len,0.942076664181598,1.715185272324651,0.7994733312300233
Tabor-Lola,before,4.0,4.0,local_alignment,-2.3544258329047367,1.7772593222142758,0.6214693218675882
Tabor-Lola,before,4.0,4.0,transition_matrix,1.5875708891490912,0.8047839773396646,0.729859957577972
