analysis,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,estimand_definition,direction,pair_weighting,metric_weighting,contains_model_extrapolation
Call structure,-0.13466018485251463,-0.1425589503816303,-1.1172722439315692,0.7707798089472548,0.63,0.37,0.74,(after - before) Partner - (after - before) Non-partner,positive = the Non-partner stage change is more negative,equal over three observed pairs,equal over four metrics,TRUE
Sequence structure,1.0577196128013857,1.0497097943447158,0.10180086893011463,1.9844935952619869,0.017625,0.982375,0.03525,(after - before) Partner - (after - before) Non-partner,positive = the Non-partner stage change is more negative,equal over three observed pairs,equal over four metrics,TRUE
