analysis,context,pairs_with_direct_support,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability
Call structure,Non-partner,3,0.2711946683906895,0.272892834249098,-0.10438657512229205,0.6425349545689717,0.074375,0.925625,0.14875
Call structure,Partner,2,0.18204852136494803,0.18192612020346172,-0.47138112890227046,0.8544557937111077,0.29625,0.70375,0.5925
Sequence structure,Non-partner,3,-0.9611034341357167,-0.9582028901728298,-1.3007970925482173,-0.593094783107487,1,0,0
Sequence structure,Partner,2,0.04229453375394501,0.04363010048873012,-0.6491045867077985,0.7392699415903887,0.44925,0.55075,0.8985
