analysis,pairs_with_direct_support,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,estimand_definition
Call structure,2,-0.13182302044604338,-0.1328363603013318,-0.8941595142296236,0.6216673452876612,0.63925,0.36075,0.7215,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Sequence structure,2,1.0891052389601898,1.0845200630213123,0.3129073345911819,1.8534485497573878,0.00275,0.99725,0.0055,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
