analysis,metric,metric_label,pairs_with_direct_support,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,estimand_definition
Call structure,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),2,-0.022797481076114373,-0.023568871134154765,-0.8521524665427335,0.7928592397256192,0.5225,0.4775,0.9550000000000001,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Call structure,T_PC_pairwise,Spectro-temporal parameters (STP),2,0.17292313969405793,0.16722925269077993,-0.6216826948046864,0.9526078298285775,0.33525,0.66475,0.6705,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Call structure,chatter_cosine,Variational autoencoder (VAE),2,-0.47391016519642504,-0.4757545277309012,-1.2890577319597654,0.3536294512085509,0.8815,0.1185,0.2370000000000001,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Call structure,spectro_DTW,Dynamic time warping (DTW),2,-0.20021381883394554,-0.19925129503105113,-1.0092624887511885,0.6126894380999718,0.69125,0.30875,0.6174999999999999,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Sequence structure,bigram,Bigram distribution,2,1.1705327285268137,1.164410871966531,0.2515364302993281,2.097285971619706,0.006875,0.993125,0.01375,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Sequence structure,local_alignment,Local alignment,2,0.8945538778855879,0.8872307869208943,-0.048596761969538486,1.8217421987952478,0.0315,0.9685,0.063,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Sequence structure,repeat_A_len,Repeat distribution of phee,2,1.613400235497329,1.6204842073404033,0.6739619553345009,2.5724167648975684,3.75e-4,0.999625,7.5e-4,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
Sequence structure,transition_matrix,Transition probabilities,2,0.6687850274316004,0.6659543858574204,-0.19172708378703085,1.5037490844719115,0.066,0.934,0.132,(after - before) Partner - (after - before) Non-partner; positive values mean the Non-partner stage change is more negative
