pair,analysis,context,metric,metric_label,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,before_comparisons,after_comparisons,has_before_and_after
Tabor-Lola,Sequence structure,Partner,transition_matrix,Transition probabilities,-0.8506445238501792,-0.8526509327055783,-1.8252124979593811,0.0989785281921929,0.959375,0.040625,0.08125000000000004,4,4,TRUE
Wuschel-Olympia,Call structure,Non-partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.005517423748848116,-0.015117987885388906,-0.7306187177322946,0.6026903977503768,0.49375,0.50625,0.9875,54,14,TRUE
Wuschel-Olympia,Call structure,Non-partner,T_PC_pairwise,Spectro-temporal parameters (STP),-0.099932629763265,-0.11998663752593056,-0.8393798939978477,0.4952435428002611,0.613875,0.386125,0.7722500000000001,54,14,TRUE
Wuschel-Olympia,Call structure,Non-partner,chatter_cosine,Variational autoencoder (VAE),0.06401621404418978,0.04904658923597031,-0.66713297364145,0.6678086382016415,0.422375,0.577625,0.84475,54,14,TRUE
Wuschel-Olympia,Call structure,Non-partner,spectro_DTW,Dynamic time warping (DTW),0.05701225088816797,0.031981636832690744,-0.6884793041336312,0.6521928002790263,0.43525,0.56475,0.8705,54,14,TRUE
Wuschel-Olympia,Call structure,Partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),-0.1972101255719746,-0.20358081944422046,-1.1221455569850878,0.6814262313685723,0.673375,0.326625,0.6532500000000001,20,6,TRUE
Wuschel-Olympia,Call structure,Partner,T_PC_pairwise,Spectro-temporal parameters (STP),-0.11254643981431928,-0.11765134525982746,-1.0300326225236145,0.7643913451040919,0.59875,0.40125,0.8025,20,6,TRUE
Wuschel-Olympia,Call structure,Partner,chatter_cosine,Variational autoencoder (VAE),-0.5970933135293346,-0.5916018989196077,-1.4987084076296582,0.3015585633523873,0.90775,0.09225,0.1845000000000001,20,6,TRUE
Wuschel-Olympia,Call structure,Partner,spectro_DTW,Dynamic time warping (DTW),-0.3271447598322441,-0.33216361862303717,-1.2372366825627517,0.5633381319699713,0.765,0.235,0.47,20,6,TRUE
Wuschel-Olympia,Sequence structure,Non-partner,bigram,Bigram distribution,-1.2026688605174727,-1.2018118587264672,-1.794886536656576,-0.6124428806028973,0.999875,1.25e-4,2.500000000000835e-4,18,8,TRUE
Wuschel-Olympia,Sequence structure,Non-partner,local_alignment,Local alignment,-1.3165822284839865,-1.3221324409564712,-1.921055369960642,-0.7313255006442761,1,0,0,18,8,TRUE
Wuschel-Olympia,Sequence structure,Non-partner,repeat_A_len,Repeat distribution of phee,-0.06283204878373627,-0.06718750767323124,-0.6739213343395947,0.5166655473044872,0.589125,0.410875,0.82175,18,8,TRUE
Wuschel-Olympia,Sequence structure,Non-partner,transition_matrix,Transition probabilities,-1.1847526722989346,-1.1900167771500936,-1.7790394514155252,-0.6142768711691505,0.99975,2.5e-4,4.999999999999449e-4,18,8,TRUE
Wuschel-Olympia,Sequence structure,Partner,bigram,Bigram distribution,0.09185906792027554,0.09998192184093632,-0.9446021044684858,1.1677704075509643,0.430625,0.569375,0.86125,16,2,TRUE
Wuschel-Olympia,Sequence structure,Partner,local_alignment,Local alignment,-0.29922944887747116,-0.2975187454347044,-1.3200619814510015,0.7560582759227376,0.716125,0.283875,0.56775,16,2,TRUE
Wuschel-Olympia,Sequence structure,Partner,repeat_A_len,Repeat distribution of phee,1.681636044091797,1.6906796082680446,0.682007901082042,2.7593271045959185,6.25e-4,0.999375,0.00125,16,2,TRUE
Wuschel-Olympia,Sequence structure,Partner,transition_matrix,Transition probabilities,-0.3986453919168833,-0.3866794826918005,-1.3715104940973843,0.6361003016042046,0.782875,0.217125,0.43425,16,2,TRUE
