AA,AK,AP,AR,AS,AT,KA,KK,KP,KR,KS,KT,PA,PK,PP,PR,PS,PT,RA,RK,RP,RR,RS,RT,SA,SK,SP,SR,SS,ST,TA,TK,TP,TR,TS,TT
0.6665926008221309,0.0,0.33329630041106545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7626989373061474,0.0,0.10169319164081965,0.0,0.03389773054693988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779546109387977,0.0,0.03389773054693988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6749831254218644,0.0,0.12499687507812306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17499562510937228,0.0,0.02499937501562461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7691716021844474,0.0,0.07691716021844473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07691716021844473,0.0,0.07691716021844473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5237970524511322,0.0,0.21428061236637225,0.0,0.023808956929596916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047165543677533,0.0,0.04761791385919383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9564801530368244,0.0,0.04347637059258293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8181074447777476,0.0,0.0909008271975275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909008271975275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4285408185129634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713877580172845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6190181419932383,0.0,0.19046712061330412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19046712061330412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7199856002879943,0.01999960000799984,0.1399972000559989,0.0,0.01999960000799984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999960000799984,0.0,0.05999880002399952,0.0,0.01999960000799984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5522305637229294,0.0,0.16417665407978985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05970060148355994,0.0,0.2089521051924598,0.0,0.014925150370889985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8124492219236297,0.0,0.18748828198237608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7017420747004439,0.0,0.1403484149400888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526131120506659,0.0,0.05263065560253329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7222088479842966,0.01851817558934094,0.16666358030406844,0.0,0.01851817558934094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703635117868188,0.0,0.03703635117868188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
