A_run_length_2,A_run_length_3,A_run_length_4,A_run_length_5
0.7998400319936012,0.1999600079984003,0.0,0.0
0.6551498224199165,0.3448156960104824,0.0,0.0
0.529380624669137,0.3529204164460914,0.1176401388153638,0.0
0.571346950435652,0.428510212826739,0.0,0.0
0.8420609441608335,0.1578864270301563,0.0,0.0
0.8999550022498874,0.09999500024998749,0.0,0.0
0.9998889012331964,0.0,0.0,0.0
0.4998750312421894,0.4998750312421894,0.0,0.0
0.9165902841429882,0.08332638946754438,0.0,0.0
0.5999760009599616,0.35998560057597695,0.039998400063997436,0.0
0.6153609476558594,0.3461405330564209,0.03846005922849121,0.0
0.6999300069993001,0.29997000299970006,0.0,0.0
0.5714081639941431,0.4285561229956073,0.0,0.0
0.5555349801859191,0.4444279841487352,0.0,0.0
0.9990009990009991,0.0,0.0,0.0
0.9999000099990002,0.0,0.0,0.0
0.9998333611064822,0.0,0.0,0.0
0.8332638946754437,0.16665277893508876,0.0,0.0
0.5998800239952009,0.3999200159968006,0.0,0.0
0.1999600079984003,0.7998400319936012,0.0,0.0
0.545404963185165,0.4545041359876375,0.0,0.0
0.4998750312421894,0.4998750312421894,0.0,0.0
0.6428112277694451,0.3571173487608028,0.0,0.0
0.428510212826739,0.571346950435652,0.0,0.0
0.8748906386701663,0.1249843769528809,0.0,0.0
0.9374414099118804,0.06249609399412536,0.0,0.0
0.7221821009943892,0.2777623465363035,0.0,0.0
0.49975012493753124,0.49975012493753124,0.0,0.0
0.6999300069993001,0.29997000299970006,0.0,0.0
0.6665555740709881,0.33327778703549404,0.0,0.0
0.6665555740709881,0.33327778703549404,0.0,0.0
0.9999000099990002,0.0,0.0,0.0
0.7499531279295043,0.24998437597650144,0.0,0.0
0.6956219294813268,0.2608582235554976,0.04347637059258293,0.0
0.9230059226213368,0.07691716021844473,0.0,0.0
0.4999375078115236,0.4999375078115236,0.0,0.0
0.7221821009943892,0.2777623465363035,0.0,0.0
0.6999825004374891,0.29999250018749535,0.0,0.0
0.526288090100521,0.4736592810904689,0.0,0.0
0.7498125468632841,0.2499375156210947,0.0,0.0
0.9332711152589828,0.06666222251849876,0.0,0.0
0.16663889351774702,0.6665555740709881,0.16663889351774702,0.0
0.6428112277694451,0.3571173487608028,0.0,0.0
0.8887901344295079,0.11109876680368849,0.0,0.0
0.24997916840263312,0.49995833680526625,0.24997916840263312,0.0
0.6999300069993001,0.29997000299970006,0.0,0.0
0.6665555740709881,0.33327778703549404,0.0,0.0
0.0,0.0,0.0,0.0
0.8331944675887352,0.0,0.16663889351774702,0.0
0.3749531308586427,0.4999375078115236,0.1249843769528809,0.0
0.8332638946754437,0.16665277893508876,0.0,0.0
0.7856581672737661,0.07142346975216056,0.07142346975216056,0.07142346975216056
0.7999600019998999,0.09999500024998749,0.09999500024998749,0.0
